time_bucket,throughput,throughput_sec,tpmC,latency,window,success,failed
0,346,346.000,346.000,94484,94484,345,1
1,412,412.000,412.000,96866,96866,411,1
2,449,449.000,449.000,82913,82913,448,1
3,477,477.000,477.000,96606,96606,477,0
4,613,613.000,613.000,64206,64206,612,1
5,591,591.000,591.000,72948,72948,591,0
6,544,544.000,544.000,63518,63518,543,1
7,602,602.000,602.000,65263,65263,601,1
8,680,680.000,680.000,63476,63476,679,1
9,654,654.000,654.000,61771,61771,654,0
10,525,525.000,525.000,78947,78947,524,1
11,366,366.000,366.000,106266,106266,365,1
12,318,318.000,318.000,161653,161653,317,1
13,395,395.000,395.000,110123,110123,395,0
14,393,393.000,393.000,71226,71226,392,1
15,404,404.000,404.000,209887,209887,403,1
16,389,389.000,389.000,84652,84652,388,1
17,350,350.000,350.000,118631,118631,349,1
18,574,574.000,574.000,54481,54481,573,1
19,436,436.000,436.000,61069,61069,436,0
20,297,297.000,297.000,103317,103317,297,0
21,244,244.000,244.000,126423,126423,243,1
22,394,394.000,394.000,86756,86756,393,1
23,527,527.000,527.000,84942,84942,526,1
24,260,260.000,260.000,118591,118591,260,0
25,292,292.000,292.000,87512,87512,291,1
26,358,358.000,358.000,88874,88874,357,1
27,359,359.000,359.000,64530,64530,358,1
28,348,348.000,348.000,80055,80055,347,1
29,354,354.000,354.000,86314,86314,353,1
30,400,400.000,400.000,80746,80746,399,1
31,396,396.000,396.000,75432,75432,396,0
32,426,426.000,426.000,128875,128875,425,1
33,357,357.000,357.000,79980,79980,357,0
34,405,405.000,405.000,66605,66605,404,1
35,434,434.000,434.000,66188,66188,433,1
36,428,428.000,428.000,63539,63539,428,0
37,409,409.000,409.000,74137,74137,408,1
38,398,398.000,398.000,66855,66855,398,0
39,418,418.000,418.000,99742,99742,417,1
40,479,479.000,479.000,63479,63479,478,1
41,371,371.000,371.000,75462,75462,371,0
42,408,408.000,408.000,61493,61493,408,0
43,427,427.000,427.000,59993,59993,426,1
44,323,323.000,323.000,209423,209423,322,1
45,410,410.000,410.000,244168,244168,409,1
46,277,277.000,277.000,93331,93331,276,1
47,345,345.000,345.000,229720,229720,344,1
48,369,369.000,369.000,104672,104672,369,0
49,280,280.000,280.000,311150,311150,280,0
50,371,371.000,371.000,75470,75470,370,1
51,260,260.000,260.000,310172,310172,259,1
52,311,311.000,311.000,85551,85551,310,1
53,318,318.000,318.000,184533,184533,317,1
54,261,261.000,261.000,136152,136152,260,1
55,325,325.000,325.000,88607,88607,324,1
56,293,293.000,293.000,97086,97086,293,0
57,256,256.000,256.000,102777,102777,255,1
58,280,280.000,280.000,97386,97386,279,1
59,291,291.000,291.000,106014,106014,291,0
60,317,317.000,317.000,81037,81037,316,1
61,329,329.000,329.000,93518,93518,329,0
62,347,347.000,347.000,75813,75813,347,0
63,405,405.000,405.000,88160,88160,404,1
64,417,417.000,417.000,75837,75837,416,1
65,350,350.000,350.000,92292,92292,350,0
66,385,385.000,385.000,62718,62718,384,1
67,361,361.000,361.000,67240,67240,361,0
68,399,399.000,399.000,66357,66357,398,1
69,418,418.000,418.000,78891,78891,417,1
70,420,420.000,420.000,70467,70467,420,0
71,372,372.000,372.000,71223,71223,371,1
72,413,413.000,413.000,70379,70379,412,1
73,339,339.000,339.000,198303,198303,338,1
74,299,299.000,299.000,191268,191268,299,0
75,629,629.000,629.000,130908,130908,629,0
76,596,596.000,596.000,199772,199772,595,1
77,509,509.000,509.000,110456,110456,508,1
78,359,359.000,359.000,302753,302753,359,0
79,416,416.000,416.000,216300,216300,415,1
80,339,339.000,339.000,67643,67643,339,0
81,336,336.000,336.000,284324,284324,335,1
82,450,450.000,450.000,57960,57960,449,1
83,452,452.000,452.000,176467,176467,451,1
84,454,454.000,454.000,190381,190381,454,0
85,429,429.000,429.000,226752,226752,428,1
86,343,343.000,343.000,75616,75616,343,0
87,343,343.000,343.000,230524,230524,342,1
88,341,341.000,341.000,71554,71554,341,0
89,389,389.000,389.000,77338,77338,388,1
90,198,198.000,198.000,440782,440782,197,1
91,276,276.000,276.000,143272,143272,276,0
92,292,292.000,292.000,202389,202389,291,1
93,342,342.000,342.000,202669,202669,342,0
94,278,278.000,278.000,91787,91787,277,1
95,320,320.000,320.000,87035,87035,320,0
96,216,216.000,216.000,124361,124361,215,1
97,282,282.000,282.000,90325,90325,281,1
98,327,327.000,327.000,70122,70122,327,0
99,332,332.000,332.000,72474,72474,331,1
100,327,327.000,327.000,68650,68650,326,1
101,321,321.000,321.000,68293,68293,320,1
102,384,384.000,384.000,66726,66726,384,0
103,342,342.000,342.000,95691,95691,341,1
104,355,355.000,355.000,74035,74035,354,1
105,377,377.000,377.000,65063,65063,376,1
106,394,394.000,394.000,59554,59554,393,1
107,486,486.000,486.000,65506,65506,485,1
108,407,407.000,407.000,65104,65104,406,1
109,315,315.000,315.000,263046,263046,314,1
110,350,350.000,350.000,203527,203527,350,0
111,318,318.000,318.000,236098,236098,317,1
112,351,351.000,351.000,88621,88621,351,0
113,298,298.000,298.000,202047,202047,298,0
114,255,255.000,255.000,217948,217948,254,1
115,305,305.000,305.000,142789,142789,305,0
116,292,292.000,292.000,193041,193041,291,1
117,319,319.000,319.000,218509,218509,318,1
118,380,380.000,380.000,99644,99644,379,1
119,309,309.000,309.000,200788,200788,308,1
