Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,376,376.000,1088,8752,20314,26046,33036,44770,54127,211590,222462
1,1597,1597.000,585,1317,2879,6210,11614,15939,17888,31136,63348
2,719,719.000,640,1367,15120,14040,23346,28863,33262,44020,59121
3,589,589.000,568,1840,19261,16868,25098,31032,35225,51344,67004
4,639,639.000,733,1566,17569,15608,24730,29816,33004,42573,59096
5,651,651.000,809,1552,17069,15318,24043,28964,31923,42568,59037
6,661,661.000,791,1526,16988,15163,23935,29846,32382,39164,43264
7,602,602.000,782,1457,18153,17100,25236,30304,33167,41320,916266
8,586,586.000,770,1306,18902,16608,26629,32559,39466,51938,68383
9,591,591.000,818,2704,18996,16779,25233,31016,35126,40475,54121
10,585,585.000,749,1884,18126,16987,25647,31406,35586,59116,67440
11,610,610.000,654,3976,18303,16464,24218,30289,32729,38741,44771
12,501,501.000,837,5304,21525,19809,29555,35835,39503,45103,70774
13,503,503.000,788,3522,23625,19999,30029,35003,38093,44601,48078
14,558,558.000,742,2503,21074,17801,26943,31709,33934,40121,45751
15,517,517.000,743,7828,21337,19400,27472,33170,38113,53249,61994
16,608,608.000,733,1933,18704,16462,24798,30426,34484,39325,53618
17,589,589.000,715,1720,18758,16875,25829,31419,34580,47184,57562
18,584,584.000,829,5586,19734,17080,25267,29874,33149,39608,49844
19,602,602.000,720,2918,18383,16622,25301,30855,33074,38647,41686
20,627,627.000,752,2544,17927,16041,24572,29415,32123,37758,41349
21,630,630.000,759,1612,18231,15753,24522,29606,32830,39370,64754
22,657,657.000,754,1589,16041,15202,24710,30059,33988,40136,46071
23,585,585.000,779,5257,18711,17084,25299,31041,34157,41413,45933
24,621,621.000,783,3696,17960,16139,24259,30423,32553,36223,52974
25,603,603.000,779,3083,18433,16467,24737,30222,33158,39861,45166
26,598,598.000,778,3247,18361,16683,24666,31596,34447,39704,44559
27,577,577.000,769,3890,18872,17383,26252,31283,35894,44291,63537
28,557,557.000,791,3588,20124,17943,27014,31704,36593,50744,71568
29,641,641.000,648,1486,17669,15574,23939,29730,31853,37738,45031
30,555,555.000,767,1474,18394,18037,25113,31014,35017,42415,1023900
31,596,596.000,730,2043,18475,16861,25706,31660,34528,45833,53340
32,498,498.000,762,4970,24262,19945,29652,34725,36681,42156,62323
33,523,523.000,777,3554,22489,19107,28487,33116,35374,39966,56018
34,597,597.000,729,1745,19071,16710,25805,30795,33961,39497,57924
35,584,584.000,773,3299,20318,17108,25577,30493,34111,39042,47824
36,629,629.000,797,1771,17594,15817,24503,29953,32713,37370,44423
37,617,617.000,745,1706,18302,16198,25052,30059,32984,38061,43313
38,588,588.000,752,2640,19475,17058,26223,30928,33371,41340,45371
39,626,626.000,742,1530,18036,15915,25063,30532,33613,39956,47394
40,627,627.000,723,2276,17573,15979,24626,30200,32734,38803,45983
41,598,598.000,768,2048,18353,16674,25558,31637,35136,41987,47863
42,586,586.000,773,4255,18444,17025,26009,30858,34053,39412,61444
43,602,602.000,751,3248,18563,16507,25251,30724,33685,40351,45647
44,571,571.000,792,2529,18843,17606,26226,31683,35663,64573,90682
45,659,659.000,776,1338,17433,15073,24673,29533,32747,38822,61281
46,718,718.000,684,1298,16124,13939,23351,28321,31844,39222,49915
47,588,588.000,780,1632,19224,17000,25542,31068,34497,50458,69748
48,635,635.000,725,1940,17323,15628,24014,29345,32460,38126,51776
49,667,667.000,757,1550,17388,15032,23606,27705,30807,35582,52720
50,361,361.000,755,12520,33343,28293,42072,47300,53050,55592,57968
51,444,444.000,782,6905,25385,22234,32690,38482,42772,57778,64877
52,531,531.000,788,4631,21811,18747,27655,33137,37378,41557,59802
53,567,567.000,737,2276,19977,17546,26663,32785,35816,41085,44404
54,562,562.000,748,2675,19668,17726,26594,31557,35647,44286,48357
55,601,601.000,766,2665,19218,16813,25296,30376,33948,38417,56784
56,576,576.000,704,4253,18976,17148,26083,30794,32629,36462,44745
57,621,621.000,708,2150,17818,16110,24735,29975,33922,39943,46468
58,592,592.000,731,4367,18802,16927,26095,30735,33352,37985,40306
59,610,610.000,752,2552,18486,16353,24545,29756,31712,37786,39737
60,604,604.000,794,3412,18892,16570,25198,30144,32913,37222,41880
61,594,594.000,729,2516,18787,16871,25223,31104,34231,43193,52405
62,583,583.000,782,5808,18734,17015,25392,31015,33198,38858,53265
63,581,581.000,749,4484,19301,17276,25460,31232,34197,40357,52095
64,599,599.000,805,1789,17947,16636,25541,30308,33675,49567,73168
65,552,552.000,756,4032,20406,18729,25994,31703,36070,49961,479520
66,592,592.000,739,2053,17838,16182,25249,30375,33274,39925,54864
67,639,639.000,668,3307,17317,15707,24315,29306,31736,36159,45206
68,601,601.000,779,3389,17817,16632,24904,31134,33428,40582,67339
69,481,481.000,756,6398,24214,20732,31058,35505,38183,44764,61707
70,476,476.000,759,8396,22324,21160,28040,32737,34670,43432,845664
71,552,552.000,743,2060,20494,17889,26768,31964,35622,43926,56421
72,599,599.000,681,1566,18942,16784,26429,31759,34091,37672,47404
73,589,589.000,802,4130,18681,16963,25511,30468,33944,41455,43338
74,608,608.000,762,2989,18851,16475,25232,29960,32554,37943,45426
75,580,580.000,762,4062,19139,17086,25137,30055,32898,40490,49891
76,609,609.000,809,2508,18426,16484,25364,30363,33442,38382,46266
77,654,654.000,768,1704,17284,15277,24400,28837,31947,39447,47379
78,593,593.000,714,3301,18962,16788,24722,30024,33248,40291,52277
79,605,605.000,772,2374,18143,16542,25469,30570,33553,43975,63300
