Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,359,359.000,1057,9690,17623,27337,27229,51845,86436,191843,254421,358,1,191843,17623,27337,27229,51845,86436
1,502,502.000,767,2940,11985,20320,22620,54814,88440,122265,132158,501,1,122265,11985,20320,22620,54814,88440
2,467,467.000,824,2711,10739,21503,28959,71878,80753,115895,130071,466,1,115895,10739,21503,28959,71878,80753
3,621,621.000,867,1856,7240,15820,16325,34155,73027,122437,165451,621,0,122437,7240,15820,16325,34155,73027
4,620,620.000,761,1950,9914,16551,17814,34152,79468,114600,157625,619,1,114600,9914,16551,17814,34152,79468
5,624,624.000,702,1834,7559,15315,16179,36399,66533,126316,139540,623,1,126316,7559,15315,16179,36399,66533
6,625,625.000,873,1565,7950,16411,16362,31137,73109,156238,207673,624,1,156238,7950,16411,16362,31137,73109
7,683,683.000,743,1575,7895,14151,16142,32940,61235,94290,109360,682,1,94290,7895,14151,16142,32940,61235
8,513,513.000,744,1640,14256,20130,23959,57587,75463,140978,151355,512,1,140978,14256,20130,23959,57587,75463
9,536,536.000,701,1501,12201,18017,17625,58604,76650,92997,104837,535,1,92997,12201,18017,17625,58604,76650
10,604,604.000,701,1551,9593,16490,17439,48955,66330,94543,107466,603,1,94543,9593,16490,17439,48955,66330
11,448,448.000,651,1801,12011,23296,24854,61049,105523,188152,254939,448,0,188152,12011,23296,24854,61049,105523
12,519,519.000,706,1543,12236,19363,21610,57930,78824,107418,115657,518,1,107418,12236,19363,21610,57930,78824
13,578,578.000,684,1475,8048,16771,20202,48239,74469,101059,110112,577,1,101059,8048,16771,20202,48239,74469
14,520,520.000,750,1585,10749,19495,20042,56278,85695,132984,142046,519,1,132984,10749,19495,20042,56278,85695
15,580,580.000,797,1441,8558,16662,16563,40608,69576,131014,133200,579,1,131014,8558,16662,16563,40608,69576
16,638,638.000,674,1522,8278,15699,16693,42942,71375,82901,123314,637,1,82901,8278,15699,16693,42942,71375
17,548,548.000,706,1462,10480,18978,23702,51467,79163,133924,148618,548,0,133924,10480,18978,23702,51467,79163
18,361,361.000,708,1722,15191,26457,36845,74722,106952,128095,131995,360,1,128095,15191,26457,36845,74722,106952
19,679,679.000,638,1507,8282,14715,16428,38826,57025,98389,99894,678,1,98389,8282,14715,16428,38826,57025
20,497,497.000,850,1795,10611,20078,24024,72137,87902,106483,107279,496,1,106483,10611,20078,24024,72137,87902
21,584,584.000,770,1464,7473,17010,17216,53064,73060,98206,130492,583,1,98206,7473,17010,17216,53064,73060
22,640,640.000,665,1430,10877,16075,17955,48323,65947,89618,96542,639,1,89618,10877,16075,17955,48323,65947
23,515,515.000,606,1693,11500,20307,23675,51601,67273,223576,224971,514,1,223576,11500,20307,23675,51601,67273
24,562,562.000,776,1589,12354,16473,17901,44289,65634,98394,98989,561,1,98394,12354,16473,17901,44289,65634
25,649,649.000,599,1399,10741,15436,18161,40982,58186,85016,114012,648,1,85016,10741,15436,18161,40982,58186
26,755,755.000,659,1357,6941,13148,15988,29707,57799,98942,107698,754,1,98942,6941,13148,15988,29707,57799
27,540,540.000,683,1586,11933,18478,23704,49256,75424,118938,130558,539,1,118938,11933,18478,23704,49256,75424
28,671,671.000,629,1477,7024,15402,16403,37659,65927,107289,131183,670,1,107289,7024,15402,16403,37659,65927
