Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,28,28.000,16614,16781,24773,36031,58293,91619,99932,100019,100019
1,37,37.000,8274,16654,24906,27951,33195,58233,75031,91825,91825
2,31,31.000,8144,16608,25069,31206,49964,58216,83387,83613,83613
3,40,40.000,8255,16580,16743,25024,25132,58356,75021,75040,75040
4,32,32.000,8091,16555,24998,30723,41619,50140,108309,108323,108323
5,36,36.000,8070,16645,24947,29165,41578,66642,75120,83367,83367
6,34,34.000,8155,16640,16748,27940,33380,50210,66615,91806,91806
7,39,39.000,7992,16638,24959,25863,33097,50081,58501,124811,124811
8,36,36.000,8219,16667,16817,27332,33374,58367,58435,83442,83442
9,28,28.000,8209,16729,25008,35719,50003,58285,110376,141555,141555
10,40,40.000,8161,16638,16727,25637,33400,49965,66756,91751,91751
11,29,29.000,8271,16638,25031,35066,41814,108128,116699,116702,116702
12,36,36.000,8269,16654,24996,26854,33371,49995,66625,66777,66777
13,33,33.000,8112,16597,16743,30072,33327,75176,91655,124817,124817
14,36,36.000,8071,16577,24898,28472,25173,58397,100120,124965,124965
15,30,30.000,8336,16668,24966,32221,50034,66654,66715,91668,91668
16,30,30.000,8143,16646,24920,33335,49931,99966,108119,108507,108507
17,42,42.000,8201,8288,8430,23810,33264,66592,75075,116718,116718
18,50,50.000,8149,8306,8372,20347,16642,66722,83603,116771,116771
19,87,87.000,8107,8276,8347,11501,8425,8500,33217,91177,91177
20,93,93.000,7968,8277,8357,10492,8431,8603,16905,116704,116704
21,90,90.000,7996,8257,8352,11020,8456,16719,25152,99996,99996
22,94,94.000,8106,8287,8343,10940,8410,8503,17552,108414,108414
23,82,82.000,8119,8305,8348,11784,8386,8466,41687,100126,100126
24,75,75.000,8062,8291,8352,13338,8439,8566,41638,141663,141663
25,94,94.000,7698,8281,8346,10731,8415,8616,25672,99979,99979
26,82,82.000,8181,8301,8327,11988,8383,16735,41580,83314,83314
27,73,73.000,8028,8306,8340,13811,8396,25166,41645,100053,100053
28,99,99.000,8138,8293,8337,10022,8379,8443,8999,91690,91690
29,81,81.000,8123,8307,8347,12242,8403,16688,33329,100010,100010
30,90,90.000,8179,8278,8348,11383,8381,8681,33298,116777,116777
31,93,93.000,8103,8297,8341,10484,8393,8452,33495,49958,49958
32,103,103.000,8137,8291,8331,10440,8384,8454,17178,58248,91664
33,79,79.000,8117,8284,8333,11598,8387,8438,33376,116759,116759
34,77,77.000,8139,8283,8331,13081,8379,16713,58333,83469,83469
35,92,92.000,8173,8287,8317,10759,8373,16639,25098,75054,75054
36,95,95.000,8174,8293,8311,10523,8368,8447,25572,75012,75012
37,87,87.000,8098,8299,8337,11394,8396,16788,33336,66604,66604
38,100,100.000,8190,8294,8311,10070,8356,8412,16655,91584,91584
39,87,87.000,8126,8280,8323,11382,8380,16615,24973,108259,108259
40,94,94.000,8128,8295,8320,11162,8374,8468,25218,91687,91687
41,78,78.000,8141,8298,8322,12174,8368,16627,58353,66766,66766
42,96,96.000,8190,8294,8315,10318,8377,8446,24990,91735,91735
43,85,85.000,8123,8296,8312,11755,8369,8437,33266,108498,108498
44,86,86.000,8120,8298,8321,12011,8390,16764,33288,75256,75256
45,86,86.000,8119,8292,8313,11221,8385,16626,33345,66666,66666
46,78,78.000,8140,8291,8337,12812,8379,25018,41796,133382,133382
47,100,100.000,8176,8298,8309,9904,8349,8393,16694,91818,91818
48,43,43.000,8102,8365,16715,23430,25127,41652,58398,108232,108232
49,78,78.000,8087,8296,8312,12699,8420,24945,41706,91610,91610
50,73,73.000,8140,8295,8311,13694,8365,8485,58299,191605,191605
51,93,93.000,8140,8299,8315,11014,8368,8421,33474,66766,66766
52,88,88.000,8130,8295,8314,11066,8360,16648,25022,83381,83381
53,82,82.000,8128,8292,8337,12287,8385,16598,33328,75129,75129
54,95,95.000,8109,8290,8311,10335,8365,8458,16694,66831,66831
55,70,70.000,8128,8294,8327,14282,8429,25042,58264,75200,75200
56,84,84.000,8123,8294,8313,11890,8375,16608,33540,82537,82537
57,97,97.000,8206,8297,8314,10299,8364,8437,24919,66800,66800
58,61,61.000,8021,8293,8316,16312,8402,16498,25025,362555,362555
59,96,96.000,8068,8266,8307,10397,8389,8498,33258,74895,74895
60,85,85.000,8097,8288,8311,11759,8390,16750,33279,83306,83306
61,78,78.000,8088,8297,8309,12804,8385,25141,58260,74934,74934
62,102,102.000,8137,8295,8304,9785,8339,8390,8410,66598,83365
63,87,87.000,8120,8291,8304,11375,8360,16632,33280,75042,75042
64,79,79.000,8158,8291,8318,12748,8388,24793,41613,100202,100202
65,98,98.000,8150,8293,8308,10108,8372,9103,24948,58296,58296
66,93,93.000,8121,8286,8309,10731,8362,8917,25133,58305,58305
67,82,82.000,8189,8291,8310,12175,8375,16804,41579,75062,75062
68,102,102.000,8198,8294,8304,9785,8346,8404,8441,41690,83280
69,75,75.000,8098,8291,8305,13203,8407,24958,41436,100192,100192
70,84,84.000,8187,8288,8311,11889,8374,16621,41735,66678,66678
71,97,97.000,8187,8292,8310,10302,8365,8422,16797,91804,91804
72,84,84.000,8139,8292,8306,12084,8353,8399,16776,125098,125098
73,92,92.000,7979,8292,8308,11032,8368,8623,16859,91584,91584
74,89,89.000,8088,8297,8329,10850,8392,8457,33404,66707,66707
75,83,83.000,8119,8304,8333,12142,8376,16760,42077,66660,66660
76,91,91.000,8129,8304,8326,11447,8373,8603,17236,91848,91848
77,81,81.000,8133,8294,8334,11615,8362,8435,41702,91672,91672
78,89,89.000,8187,8298,8311,11784,8365,16652,33297,75239,75239
79,91,91.000,8110,8299,8307,10605,8340,16612,24954,66749,66749
80,89,89.000,8124,8302,8314,11033,8372,16624,25045,66675,66675
81,85,85.000,7959,8299,8313,11747,8353,16633,33319,66711,66711
82,92,92.000,8206,8301,8313,10774,8362,8440,16662,83330,83330
83,90,90.000,8181,8305,8317,11193,8366,16634,33284,66895,66895
84,94,94.000,8079,8303,8318,10541,8363,16529,25167,74945,74945
85,105,105.000,8128,8252,8328,9517,8405,8480,8573,33408,66725
86,85,85.000,8090,8296,8324,11758,8415,24943,41625,66587,66587
87,86,86.000,8054,8277,8320,11812,8406,8541,41682,83187,83187
88,71,71.000,8019,8279,8360,13724,16621,25045,33380,67192,67192
89,84,84.000,8167,8293,8321,11895,8417,16587,41659,66750,66750
90,87,87.000,8040,8286,8316,11583,8411,8477,41519,83239,83239
91,100,100.000,8124,8290,8317,9905,8368,8440,8485,75163,75163
92,85,85.000,8139,8265,8327,11857,8412,25037,33473,66707,66707
93,94,94.000,8140,8298,8323,10628,8409,16626,25009,74888,74888
94,87,87.000,8040,8280,8327,11394,8445,24997,25070,58203,58203
95,95,95.000,8149,8261,8312,10510,8403,8528,25050,50155,50155
96,82,82.000,8080,8281,8335,12087,8421,16684,33371,83469,83469
97,90,90.000,7983,8288,8321,11196,8416,16750,33300,58290,58290
98,100,100.000,8017,8267,8316,9905,8401,8461,16810,66798,66798
99,90,90.000,8182,8283,8323,11564,8387,8464,41866,75001,75001
100,81,81.000,8106,8274,8320,11818,8387,8464,33402,99939,99939
101,90,90.000,8054,8270,8355,11104,8432,16786,25085,58362,58362
102,101,101.000,8167,8270,8319,10471,8396,8478,16623,66863,74931
103,79,79.000,8003,8290,8318,11904,8371,16648,41544,75039,75039
104,96,96.000,8169,8297,8328,10406,8359,8411,16714,75005,75005
105,112,112.000,8207,8297,8321,8844,8363,8403,8422,33320,33367
106,95,95.000,8143,8300,8325,10521,8359,8420,16947,91616,91616
107,105,105.000,8214,8304,8321,9764,8365,8417,16622,41696,66778
108,114,114.000,8146,8306,8315,11240,8342,8370,8400,25255,324181
109,83,83.000,8198,8304,8316,8324,8344,8368,8399,8424,8424
110,112,112.000,8194,8306,8317,8918,8329,8378,8408,16798,58233
111,105,105.000,8238,8305,8317,9518,8353,8406,8467,41635,50014
112,94,94.000,8147,8307,8317,10546,8363,16638,24967,67109,67109
113,120,120.000,8239,8307,8316,8325,8339,8370,8394,8441,8494
114,108,108.000,8108,8303,8318,9250,8353,8418,8486,33244,66645
115,117,117.000,8050,8287,8316,8536,8366,8435,8470,8566,33337
116,112,112.000,8095,8278,8321,8919,8395,8438,8485,33020,41757
117,95,95.000,8175,8307,8314,10521,8352,8421,17250,100099,100099
118,118,118.000,8080,8298,8317,8398,8358,8453,8486,8566,16577
119,86,86.000,8126,8283,8320,10550,8399,8449,8512,83428,83428
