Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,317,317.000,855,11743,25105,31241,40943,56034,69901,173925,188682
1,576,576.000,665,1566,18690,17324,26976,33756,41806,61525,72918
2,609,609.000,668,1717,19506,16899,25884,31073,34698,53709,66768
3,595,595.000,731,1707,18257,16223,25568,30068,32744,39607,45628
4,627,627.000,723,1952,17397,15941,24709,29735,32895,39004,53633
5,606,606.000,825,1478,18085,17325,24997,30511,34425,53239,716301
6,599,599.000,772,1513,17957,15867,25689,30847,35068,42932,47977
7,549,549.000,818,1925,19058,18171,27350,34619,40508,55834,62602
8,609,609.000,797,2131,18508,16287,25024,29546,32995,37953,45944
9,633,633.000,818,1940,17105,15795,25083,30918,34155,39566,41618
10,559,559.000,785,1601,18887,18068,27990,34675,41554,52466,69079
11,467,467.000,764,6189,24510,21085,31515,36272,38376,43994,56339
12,504,504.000,770,8574,22603,19984,28863,33955,37407,47158,61618
13,570,570.000,812,3069,20269,17420,25785,31341,33809,43672,55686
14,572,572.000,743,2513,19511,17515,26591,31783,35151,57094,68863
15,552,552.000,760,4003,20038,17976,26431,31549,36239,45742,59785
16,606,606.000,681,1865,18731,16593,25252,30498,33095,38885,46840
17,636,636.000,757,1596,17652,15729,24898,29859,33041,38045,42897
18,566,566.000,813,4668,19148,17603,25990,32045,35188,42675,50790
19,590,590.000,712,3058,18892,16949,25052,30996,34289,41755,52474
20,577,577.000,794,4022,18855,17272,26050,31839,34743,40540,49713
21,637,637.000,809,2232,17306,15658,24056,30241,33099,37874,45095
22,644,644.000,803,1957,16965,15473,23881,29735,33396,39497,45074
23,594,594.000,756,3461,18465,16905,25145,30770,34334,40684,50748
24,614,614.000,778,2564,17869,16209,24703,30346,34454,39675,47123
25,613,613.000,758,2757,18160,16326,25428,30478,33138,39218,41589
26,561,561.000,732,3659,19855,17843,26899,31986,35157,44574,69938
27,640,640.000,715,2235,16964,15486,23706,30070,33883,38507,52029
28,562,562.000,785,1970,18509,18311,25403,30799,33638,46011,1040921
29,571,571.000,807,1653,19431,17022,26330,33154,36985,44405,59460
30,484,484.000,806,6087,24982,20591,31655,35877,38291,42835,45020
31,499,499.000,791,7668,23347,20007,29279,33379,35446,42251,47424
32,548,548.000,807,6250,21020,18310,26888,32388,35089,40961,54939
33,592,592.000,741,2820,19605,16875,26063,31088,34032,39183,49238
34,542,542.000,797,3730,19183,18469,26766,33048,37922,69731,90522
35,630,630.000,808,1940,18230,15902,24555,29955,31899,36728,42725
36,609,609.000,776,2660,18517,16337,24757,30470,33124,38706,44342
37,630,630.000,778,1874,17349,15861,24169,30006,33420,39419,43757
38,648,648.000,745,1606,16585,15486,24332,30285,33438,39214,48745
39,615,615.000,786,2042,18246,16130,24361,30482,32885,39315,51054
40,644,644.000,752,1763,17582,15525,23726,29250,31391,37996,49210
41,608,608.000,787,2382,18405,16509,24749,30239,32708,39817,53836
42,588,588.000,787,2530,19180,16887,25736,30563,34455,42340,49571
43,652,652.000,667,1404,17034,15268,24178,30243,33250,39504,51782
44,718,718.000,619,1262,15931,13999,22593,28080,32480,52777,80148
45,595,595.000,735,1420,19582,16739,25738,31885,36004,43308,65089
46,602,602.000,740,2947,18202,16610,25258,30111,33394,38616,45719
47,600,600.000,777,4826,18309,16656,24797,29946,32501,37513,58187
48,413,413.000,810,7574,23838,24136,37363,45429,52403,56155,93634
49,407,407.000,882,7225,27943,24697,35711,41647,44780,53277,59322
50,530,530.000,771,3599,21753,18861,28499,33535,37825,42465,46222
51,544,544.000,772,3618,20144,18243,27394,33711,36817,42990,49939
52,573,573.000,741,2665,19803,17646,26915,31833,35328,40673,52352
53,560,560.000,796,4170,19670,17767,26668,31936,36694,46927,58821
54,589,589.000,761,3335,18891,16838,25118,31223,33997,38786,43281
55,606,606.000,813,2405,18949,16589,25395,30013,33592,40445,49070
56,623,623.000,714,1581,17443,15879,24339,29701,33210,40091,48005
57,622,622.000,798,2650,18298,16137,24538,30116,33085,37847,41410
58,571,571.000,792,3656,19213,17534,26086,31446,34249,43612,50988
59,609,609.000,778,2074,18499,16346,25099,30287,32880,37350,52351
60,607,607.000,806,2267,19005,16544,25550,30462,33498,37500,50441
61,624,624.000,706,1992,18131,15901,24526,29278,32077,39192,47865
62,600,600.000,756,2375,18356,16579,25243,30916,33342,39316,62842
63,568,568.000,671,3607,19640,18718,25841,32195,35113,47975,715649
64,560,560.000,722,4303,18933,16823,25174,29654,32973,38531,50439
65,608,608.000,808,3128,18207,16364,24818,30219,33822,39466,52762
66,620,620.000,800,2367,18210,16176,24897,30368,33091,38808,47818
67,470,470.000,766,3507,25500,21343,32086,36831,39226,50255,66999
68,491,491.000,753,2317,22404,20711,28504,32798,36838,42219,1015581
69,509,509.000,689,7917,21680,19173,28242,32726,35629,40916,46622
70,592,592.000,769,2608,19272,16915,26327,31477,33405,41159,50417
71,623,623.000,806,1853,18134,16029,24466,30292,33414,41664,46026
72,607,607.000,769,2675,18450,16410,24938,30244,33331,38924,48299
73,605,605.000,720,2357,17766,16507,24959,31083,33823,47349,75872
74,604,604.000,753,2659,18725,16577,24940,30918,33880,41065,48241
75,611,611.000,782,2154,18311,16312,24919,30351,32869,40631,62017
76,585,585.000,771,3459,19322,17028,25535,30451,32956,38608,55397
77,610,610.000,820,3116,18326,16471,24968,29712,32931,44975,58106
78,598,598.000,764,2323,18977,16617,25015,30419,34038,40148,47063
79,649,649.000,782,2088,16967,15404,23614,29499,31679,36441,59889
80,602,602.000,762,2723,18546,16678,25305,30887,33814,41604,52111
81,598,598.000,736,3600,18975,16677,24787,29004,32958,42123,50612
82,619,619.000,695,2298,17946,16086,24517,29423,32169,38472,44790
83,603,603.000,725,2968,18893,16582,25297,30367,33977,39018,53492
84,682,682.000,778,1632,16566,14665,22835,28002,30217,36957,41300
85,586,586.000,715,3294,19325,17045,26130,30762,33273,39074,64339
86,660,660.000,663,1630,16712,15083,23695,29035,32611,39114,44193
87,487,487.000,781,6535,25138,20558,29953,34956,38435,42433,49644
88,535,535.000,800,2134,21688,18692,28625,34003,36653,42839,45608
89,531,531.000,751,6393,21676,18766,27676,32100,34435,39249,44135
90,572,572.000,744,3755,20067,17475,26714,30952,33032,39179,51464
91,574,574.000,806,3430,20146,17452,26782,31416,34533,40024,56471
92,566,566.000,775,3602,19766,17594,25675,31313,35407,51224,74413
93,607,607.000,766,2717,18359,16497,25212,29694,32743,37105,42998
94,621,621.000,708,2403,17893,16038,24438,29949,33801,39567,49725
95,591,591.000,753,2057,17906,17286,23533,28363,30808,36316,1027606
96,547,547.000,773,4472,20052,17882,26307,32309,35718,41927,44496
97,635,635.000,788,1879,17533,15697,24352,29639,33062,37500,46013
98,650,650.000,727,1602,17165,15399,23536,28821,32161,39433,47546
99,616,616.000,762,3347,18066,16206,24625,29595,32583,38218,43813
100,661,661.000,760,1467,16684,15093,23508,29831,32903,39724,48840
101,618,618.000,740,3303,17738,16233,24614,30103,33123,39894,48692
102,572,572.000,790,2013,18725,17443,25821,31979,36462,60032,67366
103,596,596.000,778,1702,18769,16695,25962,30933,33468,42944,51498
104,685,685.000,772,1385,15871,14556,24210,29819,33558,41973,44980
105,559,559.000,760,4972,19080,18156,27591,34766,38313,43997,51972
106,470,470.000,753,6960,25727,21026,31568,35788,37768,42271,46165
107,496,496.000,787,4788,23363,20299,29354,36833,41443,46849,76960
108,550,550.000,773,3597,20915,18079,27124,32109,34850,41081,46010
109,561,561.000,759,3217,19913,17708,26511,31635,35346,41619,46193
110,585,585.000,793,3152,18342,17132,26128,31414,34836,41761,53084
111,600,600.000,761,2019,19102,16678,25938,30564,32777,39298,52855
112,558,558.000,797,4675,19953,17818,25895,31587,35441,57024,65364
113,615,615.000,782,2094,18214,16201,24996,30244,33366,38182,41804
114,589,589.000,765,2318,19003,16976,26654,31864,34138,38190,43473
115,620,620.000,777,2422,17399,16097,24153,30615,34386,39627,59654
116,607,607.000,772,2873,18616,16570,25083,30023,32884,38912,51292
117,610,610.000,721,2086,18084,16283,24411,31061,34458,38903,45573
118,623,623.000,608,4425,17919,16118,24423,28219,30659,35188,43564
119,591,591.000,576,11638,18128,16431,22949,26515,28465,33387,45753
