Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1652395327.679191,24732,1,1
2,Payment,1652395327.686226,8151,3,1
2,Payment,1652395327.694450,8274,3,1
2,Payment,1652395327.694894,33436,2,1
2,Payment,1652395327.694984,33401,9,1
2,Payment,1652395327.694984,33401,8,1
2,Payment,1652395327.695167,33371,5,1
2,Payment,1652395327.695167,33309,0,1
2,Payment,1652395327.695376,33553,6,1
2,Payment,1652395327.695376,33420,4,1
2,Payment,1652395327.695589,33449,7,1
2,Payment,1652395327.702795,16580,3,1
2,Payment,1652395327.703990,32965,1,1
2,Payment,1652395327.719446,8257,3,1
2,Payment,1652395327.727794,8435,3,1
2,Payment,1652395327.728383,24729,2,1
2,Payment,1652395327.728460,24860,9,1
2,Payment,1652395327.728460,24905,8,1
2,Payment,1652395327.728570,25413,0,1
2,Payment,1652395327.728594,25388,5,1
2,Payment,1652395327.728879,25140,4,1
2,Payment,1652395327.728967,25052,6,1
2,Payment,1652395327.729117,24875,7,1
2,Payment,1652395327.736293,8147,3,1
2,Payment,1652395327.737014,24940,1,1
2,Payment,1652395327.744543,8204,3,1
2,Payment,1652395327.752811,8281,3,1
2,Payment,1652395327.753164,25548,2,1
2,Payment,1652395327.753382,25014,9,1
2,Payment,1652395327.753406,24989,8,1
2,Payment,1652395327.754071,24607,7,1
2,Payment,1652395327.754094,24943,0,1
2,Payment,1652395327.754105,24651,4,1
2,Payment,1652395327.754105,24781,6,1
2,Payment,1652395327.754106,24521,5,1
2,Payment,1652395327.761161,8251,3,1
2,Payment,1652395327.762012,24502,1,1
2,Payment,1652395327.769481,8265,3,1
2,Payment,1652395327.777814,8356,3,1
2,Payment,1652395327.778476,25018,9,1
2,Payment,1652395327.778476,25004,8,1
2,Payment,1652395327.778698,25150,5,1
2,Payment,1652395327.778748,25356,7,1
2,Payment,1652395327.778818,24992,4,1
2,Payment,1652395327.778861,24895,2,1
2,Payment,1652395327.778932,24916,6,1
2,Payment,1652395327.779103,25133,0,1
2,Payment,1652395327.786234,8202,3,1
2,Payment,1652395327.786591,24899,1,1
2,Payment,1652395327.794527,8292,3,1
2,Payment,1652395327.802881,8223,3,1
2,Payment,1652395327.803541,25166,8,1
2,Payment,1652395327.803542,25089,9,1
2,Payment,1652395327.803808,24934,2,1
2,Payment,1652395327.803870,24736,4,1
2,Payment,1652395327.803916,24978,6,1
2,Payment,1652395327.803917,25056,5,1
2,Payment,1652395327.804171,24956,7,1
2,Payment,1652395327.804292,24881,0,1
2,Payment,1652395327.811160,8312,3,1
2,Payment,1652395327.811544,25104,1,1
2,Payment,1652395327.819545,8285,3,1
2,Payment,1652395327.827896,8226,3,1
2,Payment,1652395327.828662,24566,4,1
2,Payment,1652395327.828691,24728,9,1
2,Payment,1652395327.828772,24726,8,1
2,Payment,1652395327.828795,24899,2,1
2,Payment,1652395327.828960,24673,6,1
2,Payment,1652395327.829014,24783,5,1
2,Payment,1652395327.829196,24839,7,1
2,Payment,1652395327.829269,24710,0,1
2,Payment,1652395327.836221,8228,3,1
2,Payment,1652395327.836701,24890,1,1
2,Payment,1652395327.844509,8263,3,1
2,Payment,1652395327.852833,8295,3,1
2,Payment,1652395327.853283,25163,4,1
2,Payment,1652395327.853478,25023,9,1
2,Payment,1652395327.853534,24988,8,1
2,Payment,1652395327.853684,25115,6,1
2,Payment,1652395327.853738,24691,2,1
2,Payment,1652395327.853836,24814,5,1
2,Payment,1652395327.854034,24876,0,1
2,Payment,1652395327.854098,24740,7,1
2,Payment,1652395327.861182,8289,3,1
2,Payment,1652395327.861641,25248,1,1
2,Payment,1652395327.869529,8274,3,1
2,Payment,1652395327.877866,8240,3,1
2,Payment,1652395327.878466,25580,2,1
2,Payment,1652395327.878504,25132,4,1
2,Payment,1652395327.878552,24741,9,1
2,Payment,1652395327.878558,24811,8,1
2,Payment,1652395327.878714,25164,5,1
2,Payment,1652395327.878835,24860,6,1
2,Payment,1652395327.878901,24684,7,1
2,Payment,1652395327.878970,24899,0,1
2,Payment,1652395327.886159,8394,3,1
2,Payment,1652395327.886934,25088,1,1
2,Payment,1652395327.894606,8209,3,1
2,Payment,1652395327.902874,8337,3,1
2,Payment,1652395327.903351,25249,9,1
2,Payment,1652395327.903406,25194,8,1
2,Payment,1652395327.903640,24864,7,1
2,Payment,1652395327.903692,25103,4,1
2,Payment,1652395327.903760,25106,6,1
2,Payment,1652395327.903924,25060,5,1
2,Payment,1652395327.903960,24844,0,1
2,Payment,1652395327.904116,25156,2,1
2,Payment,1652395327.911267,8381,3,1
2,Payment,1652395327.912071,108271,1,1
2,Payment,1652395327.919701,8199,3,1
2,Payment,1652395327.927959,91600,3,1
2,Payment,1652395327.928554,108227,7,1
2,Payment,1652395327.928663,108187,8,1
2,Payment,1652395327.928663,108187,9,1
2,Payment,1652395327.928860,108078,4,1
2,Payment,1652395327.928868,108119,0,1
2,Payment,1652395327.928932,108361,6,1
2,Payment,1652395327.929014,108278,5,1
2,Payment,1652395327.929342,107901,2,1
2,Payment,1652395328.019620,8182,3,1
2,Payment,1652395328.020393,24982,1,1
2,Payment,1652395328.027860,8301,3,1
2,Payment,1652395328.036224,8286,3,1
2,Payment,1652395328.036829,25640,7,1
2,Payment,1652395328.036909,25121,9,1
2,Payment,1652395328.036934,25099,8,1
2,Payment,1652395328.037020,25137,4,1
2,Payment,1652395328.037040,24955,0,1
2,Payment,1652395328.037344,25286,2,1
2,Payment,1652395328.037368,24373,6,1
2,Payment,1652395328.037386,24443,5,1
2,Payment,1652395328.044629,8172,3,1
2,Payment,1652395328.045419,25009,1,1
2,Payment,1652395328.052875,8453,3,1
2,Payment,1652395328.061377,8182,3,1
2,Payment,1652395328.061796,24868,6,1
2,Payment,1652395328.061894,24771,5,1
2,Payment,1652395328.062045,24792,0,1
2,Payment,1652395328.062084,24810,8,1
2,Payment,1652395328.062084,24810,9,1
2,Payment,1652395328.062208,24835,4,1
2,Payment,1652395328.062525,24831,7,1
2,Payment,1652395328.062696,24549,2,1
2,Payment,1652395328.069607,8219,3,1
2,Payment,1652395328.070468,24949,1,1
2,Payment,1652395328.077872,8316,3,1
2,Payment,1652395328.086242,8424,3,1
2,Payment,1652395328.086710,25288,5,1
2,Payment,1652395328.086716,25418,6,1
2,Payment,1652395328.086887,24773,0,1
2,Payment,1652395328.086969,25047,9,1
2,Payment,1652395328.087086,24524,8,1
2,Payment,1652395328.087104,24885,4,1
2,Payment,1652395328.087323,24719,2,1
2,Payment,1652395328.087463,24839,7,1
2,Payment,1652395328.094896,7928,3,1
2,Payment,1652395328.095447,24838,1,1
2,Payment,1652395328.102860,8293,3,1
2,Payment,1652395328.111190,8354,3,1
2,Payment,1652395328.111654,25327,8,1
2,Payment,1652395328.111702,25121,0,1
2,Payment,1652395328.112039,25129,4,1
2,Payment,1652395328.112054,24983,5,1
2,Payment,1652395328.112056,24930,9,1
2,Payment,1652395328.112077,24561,2,1
2,Payment,1652395328.112157,25085,6,1
2,Payment,1652395328.112344,24990,7,1
2,Payment,1652395328.119579,8297,3,1
2,Payment,1652395328.120316,25296,1,1
2,Payment,1652395328.127913,8277,3,1
2,Payment,1652395328.136226,8352,3,1
2,Payment,1652395328.136671,33561,2,1
2,Payment,1652395328.136861,33351,0,1
2,Payment,1652395328.137024,33315,9,1
2,Payment,1652395328.137024,33314,8,1
2,Payment,1652395328.137077,33187,5,1
2,Payment,1652395328.137214,33301,4,1
2,Payment,1652395328.137266,33121,6,1
2,Payment,1652395328.137373,32973,7,1
2,Payment,1652395328.144617,16654,3,1
2,Payment,1652395328.145644,33389,1,1
2,Payment,1652395328.161306,8247,3,1
2,Payment,1652395328.169591,8355,3,1
2,Payment,1652395328.170250,24923,0,1
2,Payment,1652395328.170270,24512,2,1
2,Payment,1652395328.170304,24834,5,1
2,Payment,1652395328.170384,25056,9,1
2,Payment,1652395328.170384,25055,8,1
2,Payment,1652395328.170411,24909,6,1
2,Payment,1652395328.170425,24856,7,1
2,Payment,1652395328.170551,25044,4,1
2,Payment,1652395328.177983,8239,3,1
2,Payment,1652395328.179062,24857,1,1
2,Payment,1652395328.186256,8407,3,1
2,Payment,1652395328.194701,8207,3,1
2,Payment,1652395328.194831,25274,2,1
2,Payment,1652395328.195179,25187,5,1
2,Payment,1652395328.195212,24825,0,1
2,Payment,1652395328.195330,24826,7,1
2,Payment,1652395328.195342,25003,6,1
2,Payment,1652395328.195471,24992,8,1
2,Payment,1652395328.195471,24991,9,1
2,Payment,1652395328.195633,25049,4,1
2,Payment,1652395328.202943,8273,3,1
2,Payment,1652395328.203947,25241,1,1
2,Payment,1652395328.211253,8286,3,1
2,Payment,1652395328.219572,8359,3,1
2,Payment,1652395328.220069,24876,0,1
2,Payment,1652395328.220135,25218,2,1
2,Payment,1652395328.220192,24898,7,1
2,Payment,1652395328.220382,25214,6,1
2,Payment,1652395328.220389,24936,5,1
2,Payment,1652395328.220493,25023,8,1
2,Payment,1652395328.220493,25023,9,1
2,Payment,1652395328.220717,25001,4,1
2,Payment,1652395328.227964,8281,3,1
2,Payment,1652395328.229235,24899,1,1
2,Payment,1652395328.236280,8336,3,1
2,Payment,1652395328.244657,8248,3,1
2,Payment,1652395328.244978,25275,0,1
2,Payment,1652395328.245116,25169,7,1
2,Payment,1652395328.245358,24946,5,1
2,Payment,1652395328.245388,25369,2,1
2,Payment,1652395328.245548,25226,8,1
2,Payment,1652395328.245548,25050,9,1
2,Payment,1652395328.245627,25201,6,1
2,Payment,1652395328.245753,24978,4,1
2,Payment,1652395328.252936,8323,3,1
2,Payment,1652395328.254163,24739,1,1
2,Payment,1652395328.261297,8386,3,1
2,Payment,1652395328.269718,8241,3,1
2,Payment,1652395328.270284,24717,0,1
2,Payment,1652395328.270315,24850,7,1
2,Payment,1652395328.270336,24926,5,1
2,Payment,1652395328.270634,24796,9,1
2,Payment,1652395328.270761,24925,4,1
2,Payment,1652395328.270791,25108,2,1
2,Payment,1652395328.270795,24636,8,1
2,Payment,1652395328.270856,24933,6,1
2,Payment,1652395328.277989,8248,3,1
2,Payment,1652395328.278928,24882,1,1
2,Payment,1652395328.286273,8352,3,1
2,Payment,1652395328.294660,8252,3,1
2,Payment,1652395328.295031,25001,0,1
2,Payment,1652395328.295193,25272,7,1
2,Payment,1652395328.295292,25067,5,1
2,Payment,1652395328.295464,25250,8,1
2,Payment,1652395328.295464,25250,9,1
2,Payment,1652395328.295709,25494,4,1
2,Payment,1652395328.295826,25378,6,1
2,Payment,1652395328.295934,24775,2,1
2,Payment,1652395328.302941,8358,3,1
2,Payment,1652395328.303843,25329,1,1
2,Payment,1652395328.311331,8491,3,1
2,Payment,1652395328.319857,8087,3,1
2,Payment,1652395328.320066,24943,0,1
2,Payment,1652395328.320388,24695,5,1
2,Payment,1652395328.320503,24648,7,1
2,Payment,1652395328.320737,24175,2,1
2,Payment,1652395328.320746,24892,9,1
2,Payment,1652395328.320746,24585,8,1
2,Payment,1652395328.321245,24203,6,1
2,Payment,1652395328.321246,24417,4,1
2,Payment,1652395328.327981,8250,3,1
2,Payment,1652395328.329210,24831,1,1
2,Payment,1652395328.336262,8364,3,1
2,Payment,1652395328.344661,8290,3,1
2,Payment,1652395328.344939,33472,2,1
2,Payment,1652395328.345039,33752,0,1
2,Payment,1652395328.345109,33365,5,1
2,Payment,1652395328.345184,33225,7,1
2,Payment,1652395328.345368,33394,8,1
2,Payment,1652395328.345471,33320,6,1
2,Payment,1652395328.345689,33559,9,1
2,Payment,1652395328.345689,33209,4,1
2,Payment,1652395328.352984,16666,3,1
2,Payment,1652395328.354069,33190,1,1
2,Payment,1652395328.369687,8295,3,1
2,Payment,1652395328.378016,8287,3,1
2,Payment,1652395328.378441,24931,7,1
2,Payment,1652395328.378452,25149,2,1
2,Payment,1652395328.378505,24939,5,1
2,Payment,1652395328.378794,24996,8,1
2,Payment,1652395328.378831,25362,0,1
2,Payment,1652395328.378831,25543,6,1
2,Payment,1652395328.378937,25313,4,1
2,Payment,1652395328.379272,25049,9,1
2,Payment,1652395328.386338,8312,3,1
2,Payment,1652395328.387287,25375,1,1
2,Payment,1652395328.394683,8317,3,1
2,Payment,1652395328.403033,8317,3,1
2,Payment,1652395328.403398,24951,7,1
2,Payment,1652395328.403477,25026,5,1
2,Payment,1652395328.403630,25127,2,1
2,Payment,1652395328.403820,25017,8,1
2,Payment,1652395328.404228,24922,0,1
2,Payment,1652395328.404276,24627,4,1
2,Payment,1652395328.404360,24727,9,1
2,Payment,1652395328.404386,24910,6,1
