Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,462,462.000,4642,12726,16868,21560,26002,38897,48407,69257,87064
1,558,558.000,5364,12504,15860,17855,20488,28471,33547,47250,60934
2,667,667.000,3343,11118,13575,14983,17251,22665,26670,38128,51390
3,632,632.000,3329,11227,13703,15714,16642,23871,28007,69687,81098
4,685,685.000,2542,11200,13557,14624,16493,20476,25686,34289,49512
5,649,649.000,2800,11142,13401,15320,16990,22444,27695,53570,63574
6,661,661.000,3543,11402,13775,15040,17022,22498,26296,34912,44591
7,704,704.000,3332,10939,13402,14288,15926,19542,23842,32753,64454
8,649,649.000,3816,11097,13425,15295,16235,20784,26365,80853,102960
9,699,699.000,3095,10652,13229,21911,15672,18410,23604,42392,1025162
10,121,121.000,7309,13025,15617,38539,18730,25283,34363,854818,888626
11,709,709.000,4159,11057,13291,14075,15965,18989,22800,31069,41735
12,675,675.000,2699,11133,13468,14768,16797,21175,26620,37210,49963
13,665,665.000,1382,11146,13567,15047,16073,20616,25715,67031,78582
14,715,715.000,2493,10944,13132,14007,15816,18663,23131,31679,41392
15,728,728.000,3137,10697,13173,13784,15709,18746,22067,30500,41752
16,712,712.000,2938,10951,13177,13917,15674,18437,22047,30872,41990
17,718,718.000,3930,10972,13138,13908,15558,18657,23082,31187,42616
18,648,648.000,3638,11338,13544,15479,16538,19882,26578,82896,98520
19,719,719.000,2421,10770,13456,13848,15695,19050,21737,28881,36807
20,714,714.000,3506,10997,13212,14007,15986,18668,22738,29599,40651
21,708,708.000,2716,10853,13176,14096,15922,19324,23131,33087,42741
22,708,708.000,1337,10708,13181,14105,16059,19530,25506,32954,39018
23,691,691.000,2678,10724,13171,14466,15822,18387,23410,69792,85582
24,729,729.000,4852,10584,13122,13694,15726,18376,20875,28944,34880
25,702,702.000,3536,11263,13467,14187,16052,18905,22681,29848,51308
26,722,722.000,2380,10859,13391,13858,15825,19264,21676,31664,38401
27,719,719.000,2552,10871,13108,14627,15559,20011,24461,77481,88354
28,667,667.000,3101,10938,13169,14185,16390,19876,23271,31202,46415
29,735,735.000,2675,10417,12792,13555,15690,18703,21981,29302,35792
30,723,723.000,2959,10948,12943,13821,15449,18479,21974,32959,50498
31,719,719.000,2650,10969,13256,13922,15760,18934,22028,30666,49223
32,646,646.000,3694,11084,13593,15471,16328,19781,25281,103103,107855
33,696,696.000,2747,11140,13800,14285,16120,19455,23525,29589,46325
34,425,425.000,3972,10903,13735,32501,16594,20353,24527,933443,1019726
35,410,410.000,5430,11115,13394,15136,16066,19197,22251,32649,445103
36,735,735.000,4746,10611,12990,13583,15377,17872,21204,31110,42401
37,723,723.000,3502,10876,13208,13839,15687,18326,21518,32336,37065
38,682,682.000,3810,10760,13361,14624,15895,18879,23074,69996,87465
39,712,712.000,3792,10840,13306,14051,15859,19205,24150,32344,47255
40,706,706.000,2997,11019,13395,14164,16143,18975,23939,30855,47119
41,720,720.000,2985,10841,13128,13848,15702,18780,21960,32922,41559
42,713,713.000,4272,10820,12973,14140,15792,19134,23804,42824,55122
43,680,680.000,2704,10643,13300,14585,15863,18825,23919,68507,83719
44,728,728.000,2780,10693,13059,13659,15497,18065,21121,31956,53101
45,734,734.000,2751,10484,13123,13657,15724,18446,22181,28917,36895
46,713,713.000,4880,11112,13441,16696,15686,18286,21121,30200,1015650
47,174,174.000,7534,12575,15511,46379,18019,21187,45525,979692,982001
48,681,681.000,2810,10464,12924,14613,15953,19660,23385,75519,83517
49,714,714.000,4115,11053,13169,14018,15746,19138,22142,29600,44536
50,734,734.000,2515,10696,13146,13605,15481,18103,21012,30318,48779
51,720,720.000,2761,10902,13360,13838,15871,18562,21514,29033,34187
52,573,573.000,2748,10716,13147,29713,15910,19241,23144,920382,1021933
53,216,216.000,3298,10750,13278,13801,15844,18419,20570,27546,42877
54,654,654.000,2498,11423,13830,15258,16317,19741,24233,78263,83956
55,685,685.000,2625,10460,12613,18655,15564,19059,23318,38323,1009849
56,280,280.000,7011,10480,13207,25782,16323,21925,28372,649349,701505
57,732,732.000,3024,10593,13130,13659,15554,18230,21706,29003,40087
58,734,734.000,2713,10638,12902,13592,15357,18151,21951,32121,49549
59,660,660.000,4519,11018,13301,15118,16245,19637,24077,83453,103847
60,723,723.000,3186,10836,13426,13816,15887,18162,20761,27497,43652
61,725,725.000,2805,10808,13137,13775,15724,18878,21833,28287,44812
62,730,730.000,2775,10677,13083,13710,15778,18382,22873,30692,42219
63,734,734.000,2913,10437,13127,13621,15747,18398,21685,28882,33848
64,688,688.000,3134,10794,13057,14466,15820,18319,21991,71969,81034
65,730,730.000,3404,10667,13210,13731,15766,18290,20993,30539,40890
66,713,713.000,2505,11114,13280,13946,15980,19041,21519,28608,45965
67,714,714.000,2196,11044,13172,14025,15799,19065,21720,33890,48173
68,735,735.000,2677,10710,13144,13626,15585,18039,20768,28233,41268
69,668,668.000,3374,10806,12904,14869,16172,19878,24890,74080,87577
70,729,729.000,2855,10654,13136,13761,15831,18507,22373,27925,55239
71,728,728.000,2997,10820,13227,13679,15606,18160,21182,29769,34670
72,719,719.000,3655,10926,13270,13876,15706,19125,22644,29587,43831
73,659,659.000,3164,10894,13358,15172,16169,19851,26555,70222,77268
74,700,700.000,2714,10762,12979,18866,15623,18659,22238,31411,1018307
75,172,172.000,3766,11757,14437,39511,18067,24297,29835,740638,805869
76,722,722.000,2399,10984,13182,13770,15752,18331,21938,29170,35388
77,730,730.000,3123,10977,13333,13724,15701,18201,20779,26744,38991
78,730,730.000,3918,10789,13046,13683,15629,18285,21764,30884,45169
79,684,684.000,2996,10689,13214,14605,15643,19153,23950,75419,88219
80,740,740.000,3903,10772,12978,13469,15432,17925,19419,26753,47269
81,737,737.000,3313,10629,13025,13552,15806,17956,20545,26567,35360
82,727,727.000,2658,10843,13173,13773,15616,18359,21496,28694,47291
83,722,722.000,4075,10771,13357,13885,15889,18389,22145,29787,45069
84,669,669.000,3590,10874,13353,14864,15633,18580,23848,85474,94678
85,735,735.000,3024,10473,13162,13567,15629,18356,21286,28625,33050
86,715,715.000,3958,10993,13322,13968,15872,18688,22431,29272,35305
87,715,715.000,3391,10873,13003,13983,15604,19610,23359,29885,49624
88,663,663.000,2932,10957,13484,15063,16272,19165,22905,84696,94607
89,705,705.000,2950,11064,13553,14180,16388,19363,21841,28712,56273
90,721,721.000,3712,10880,13216,13816,15762,18305,21755,28341,36743
91,709,709.000,3089,10905,13623,14127,16062,18930,22142,30505,42775
92,727,727.000,3677,10718,13134,13709,15507,18211,20922,29970,44121
93,672,672.000,4506,10924,13328,14872,15918,19132,23871,72957,87753
94,744,744.000,2601,10702,12770,13463,15382,17920,19810,27642,60438
95,724,724.000,2439,10807,12819,13736,15670,18771,22670,30637,43310
96,721,721.000,3206,10829,13155,13888,15858,18302,21704,30407,45583
97,724,724.000,2501,10945,13178,13798,15998,18547,20839,26714,44060
98,686,686.000,2744,10753,13129,14547,15973,18919,21491,70500,81064
99,751,751.000,2695,10394,12687,13290,15317,17755,19888,28261,40614
100,713,713.000,2536,10912,13141,14033,16131,18889,22766,33473,65454
101,636,636.000,4574,11057,13478,26364,16209,19438,22178,801309,1027862
102,166,166.000,5902,12222,14592,19442,17440,21595,26340,43931,658061
103,720,720.000,2723,10906,13593,13887,16043,18507,20777,28384,50462
104,550,550.000,3646,12056,14893,18165,18073,26074,40016,81593,95177
105,649,649.000,2462,11465,13891,15357,16425,19688,25263,76455,83861
106,719,719.000,2905,11066,13111,13915,15800,18410,21863,29523,41539
107,671,671.000,2321,11073,13554,14829,15880,18703,21013,82014,96454
108,726,726.000,3241,10749,13461,13801,15979,18331,20197,30931,37437
109,723,723.000,3138,10751,13397,13823,15913,18391,21094,30464,42233
110,662,662.000,3299,11130,13563,15073,16071,19498,25208,75222,89882
111,737,737.000,2963,10756,12653,13517,15450,18533,21410,27456,39810
112,720,720.000,3422,10993,13255,13955,16136,18974,20859,29671,39704
113,675,675.000,2486,10994,13650,14746,15756,18660,22390,72104,81030
114,725,725.000,3006,10739,13305,13792,15717,18518,21658,28657,43486
115,717,717.000,3318,10903,13216,13941,15708,19302,23544,31037,44001
116,688,688.000,3618,10638,13203,14517,16435,21977,26425,37055,49923
117,681,681.000,2881,10767,13072,14661,16256,19743,24793,71124,80110
118,690,690.000,1592,10705,13403,14441,16259,19808,24934,44433,58383
119,685,685.000,3119,11043,13646,14302,16502,19197,21853,33028,40201
