Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
50,1339,1339.000,2002,2809,9092,7478,11288,12688,13368,14858,16389,1338,1,14858,9092,7478,11288,12688,13368
51,1434,1434.000,1933,2656,8147,6979,10358,11597,12374,13949,17251,1433,1,13949,8147,6979,10358,11597,12374
52,1434,1434.000,1931,2585,8574,6962,10275,11811,12903,16337,20293,1433,1,16337,8574,6962,10275,11811,12903
53,1376,1376.000,1946,2747,8915,7239,10775,12175,12975,14943,18038,1375,1,14943,8915,7239,10775,12175,12975
54,1444,1444.000,1933,2602,8347,6933,10368,11825,12673,14874,16572,1443,1,14874,8347,6933,10368,11825,12673
55,1393,1393.000,1945,2681,8596,7185,10593,12308,13102,15891,19444,1392,1,15891,8596,7185,10593,12308,13102
56,1435,1435.000,1981,2708,5250,6915,10638,12315,13399,15861,75909,1434,1,15861,5250,6915,10638,12315,13399
57,1247,1247.000,1976,2783,8883,8008,11297,13067,15016,34422,37404,1246,1,34422,8883,8008,11297,13067,15016
58,1010,1010.000,2212,3307,10739,9971,13947,16892,19674,31095,44376,1009,1,31095,10739,9971,13947,16892,19674
59,1123,1123.000,2240,3220,10253,8800,13102,15115,16074,18868,29765,1122,1,18868,10253,8800,13102,15115,16074
