Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,452,452.000,4835,13182,17538,22244,25801,40081,53490,74399,112066
1,555,555.000,4773,12708,16020,18011,20913,28337,33219,44049,63721
2,633,633.000,5276,11617,14051,15734,17584,24069,29442,40979,60401
3,617,617.000,3427,11515,13889,16223,16898,23901,30948,70004,80656
4,666,666.000,4519,11190,13715,15026,17004,22425,27115,33943,42211
5,663,663.000,4070,11247,13506,14952,16799,22389,26190,35655,60068
6,650,650.000,3410,11537,13916,15342,17300,22625,26959,35874,44327
7,664,664.000,4533,11079,13552,15055,16219,21236,27962,49737,55636
8,631,631.000,3799,11283,13614,15791,16519,21027,27669,85219,102926
9,683,683.000,2701,10881,13618,21462,16012,19632,25100,38357,1038638
10,110,110.000,8203,12270,15204,48406,18481,27291,39893,878686,917663
11,682,682.000,3644,11263,13712,14650,16430,19929,24968,34024,50565
12,654,654.000,3123,11431,13711,15279,17242,21818,27949,39502,50432
13,654,654.000,3649,11250,13637,15241,16186,20773,26632,67637,78807
14,691,691.000,2803,10998,13377,14449,16121,19602,25394,37014,49878
15,709,709.000,4105,10818,13287,14109,16045,19815,23117,29965,41897
16,700,700.000,2885,11021,13339,14269,15816,18946,24176,34352,46374
17,701,701.000,4026,11195,13302,14281,15851,20062,25825,32939,40164
18,623,623.000,3086,11365,13799,16001,16858,21372,29425,82844,99185
19,694,694.000,6140,11173,13760,14386,16203,19789,22844,29997,39176
20,709,709.000,2633,10973,13206,14097,16011,18845,23098,31452,41170
21,688,688.000,3763,11039,13304,14470,16360,19936,25424,32996,45542
22,699,699.000,3277,11090,13293,14335,16202,20017,24637,33066,40436
23,678,678.000,2869,10651,13144,14721,15806,19316,25426,69871,88377
24,708,708.000,2317,10789,13339,14075,16091,18907,22369,30799,50688
25,695,695.000,4969,11395,13534,14360,16008,18883,22696,35122,56670
26,703,703.000,3204,10935,13700,14270,16073,19793,23677,31677,50368
27,706,706.000,4226,11137,13376,14157,15816,20041,23344,30716,45331
28,642,642.000,4473,11051,13330,15490,16791,20986,26470,79099,88940
29,721,721.000,2545,10538,13080,13929,15862,19028,22813,32834,39443
30,696,696.000,3814,11110,13312,14285,15712,19143,24229,36671,50309
31,690,690.000,2460,11202,13546,14494,16112,20137,23903,36440,47757
