Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.800,51.435,0.887,33.721,54.258,70.704,92.271,102.571,121.820,121.820,0.019
5,20.800,43.613,0.635,35.742,44.392,53.932,61.914,71.981,80.058,92.046,0.023
10,13.000,61.746,9.171,45.540,59.137,70.714,96.801,113.818,159.581,159.581,0.016
15,16.200,55.691,7.517,40.680,51.277,60.936,78.840,100.748,217.258,217.258,0.018
20,13.600,48.119,8.573,35.697,49.423,64.158,70.029,71.357,92.672,92.672,0.021
25,13.200,50.962,5.396,40.572,53.784,62.914,71.533,80.963,99.976,99.976,0.020
30,18.600,45.458,0.597,39.742,47.145,55.987,64.544,70.508,80.880,80.880,0.022
35,15.600,47.169,0.718,41.883,50.574,56.003,62.024,69.236,71.988,71.988,0.021
40,20.600,56.306,4.119,40.858,47.506,57.306,66.422,193.355,245.120,245.682,0.018
45,13.600,55.494,9.287,36.757,48.983,59.514,68.264,79.179,350.263,350.263,0.018
50,12.200,66.670,0.695,50.306,57.950,69.439,84.663,112.054,313.344,313.344,0.015
55,10.600,62.588,21.277,47.624,59.592,73.101,97.099,114.030,124.158,124.158,0.016
60,14.200,51.658,17.446,43.931,50.707,57.986,67.136,77.104,96.093,96.093,0.019
65,18.200,45.822,11.299,40.155,48.061,55.516,61.404,65.306,71.055,71.055,0.022
70,15.600,82.279,0.660,45.425,56.607,74.505,229.337,269.654,376.301,376.301,0.012
75,14.200,59.911,15.368,41.159,52.310,59.455,64.386,185.187,310.416,310.416,0.017
80,13.400,45.300,0.642,33.379,43.595,54.079,66.585,69.466,253.611,253.611,0.022
85,12.600,56.391,0.847,35.344,45.523,60.554,83.721,97.429,316.894,316.894,0.018
90,11.800,48.552,2.426,42.776,51.975,60.899,71.258,77.935,86.183,86.183,0.021
95,12.800,55.058,3.107,42.598,59.321,71.139,79.680,82.892,114.405,114.405,0.018
100,15.000,48.292,8.538,39.657,50.002,56.137,65.642,67.398,160.151,160.151,0.021
105,13.800,49.727,0.588,38.334,49.344,57.719,66.146,71.038,229.036,229.036,0.020
110,14.000,58.434,7.164,38.222,51.949,55.290,70.724,226.919,236.620,236.620,0.017
115,14.000,57.668,15.362,34.938,44.509,52.180,63.623,269.404,351.356,351.356,0.017
