Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
89,552,552.000,763,5276,20812,18089,27085,31888,34702,40885,48271
90,603,603.000,817,2778,19150,16659,25573,29611,32457,39882,42917
91,597,597.000,733,1792,18663,16666,25765,30567,34053,40930,49485
92,611,611.000,743,2261,18475,16260,24626,29713,32694,37147,40028
93,621,621.000,755,1624,18166,16167,24993,30495,32792,40173,54898
94,634,634.000,726,2570,17642,15715,23389,29476,32388,37999,39549
95,634,634.000,760,2121,17608,16992,23667,28017,30284,41101,982026
96,554,554.000,729,3937,18031,16665,24894,30493,34009,42582,44093
97,641,641.000,707,1999,17775,15666,23585,29283,32448,36247,44110
98,608,608.000,727,3284,18405,16389,24827,29534,32686,39385,53953
99,660,660.000,729,1527,16585,15004,23003,29205,33244,39552,43076
100,600,600.000,751,3130,18631,16642,24770,30478,33357,40898,50239
101,635,635.000,705,2441,16926,15840,23948,29223,32770,41566,71529
102,653,653.000,728,1694,17037,15251,23294,28693,32193,37723,48371
103,549,549.000,754,2136,20689,18242,27162,31871,36561,55448,66318
104,647,647.000,710,1433,17636,15413,24410,28635,31378,39578,44641
105,588,588.000,746,1825,18865,16991,25481,30983,34901,53158,64992
106,458,458.000,696,10075,25751,21833,31988,35592,38035,44378,48556
107,500,500.000,755,2827,23227,19808,31083,35649,37860,43022,46930
108,541,541.000,746,4971,21679,18644,27542,32031,36163,43139,46293
109,603,603.000,737,1639,18714,16563,25096,30463,32965,40941,50492
110,577,577.000,706,5019,18971,17242,25701,31480,34350,39477,44407
111,602,602.000,738,2768,18844,16575,25363,30404,32778,37933,51952
112,601,601.000,740,3759,18983,16653,25270,29865,32983,37115,41292
113,629,629.000,756,2395,17596,15896,24794,30060,32529,39431,42436
114,584,584.000,712,4102,19129,17136,25577,30111,33558,39969,51165
115,634,634.000,714,1541,17802,15716,23904,29414,32822,39131,52965
116,602,602.000,747,4099,18342,16644,25032,30031,32700,37489,42814
117,596,596.000,728,4290,18741,16692,25062,29575,32946,39331,43470
118,637,637.000,766,2694,17789,15661,23497,28089,31133,38113,50181
119,609,609.000,714,8521,17700,16072,23243,27144,29931,33853,37198
