Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
54,948,948.000,717,1142,11743,10507,18129,22148,24777,37347,70956,948,0,37347,11743,10507,18129,22148,24777
55,920,920.000,713,1139,12435,10784,18262,22211,25103,34746,43911,920,0,34746,12435,10784,18262,22211,25103
56,969,969.000,765,1129,11092,10367,17545,22080,25346,36186,71595,968,1,36186,11092,10367,17545,22080,25346
57,961,961.000,728,1132,11589,10367,17545,21606,23714,37046,63160,960,1,37046,11589,10367,17545,21606,23714
58,982,982.000,712,1136,11392,10161,18059,22151,24199,32000,40828,981,1,32000,11392,10161,18059,22151,24199
59,871,871.000,735,1129,12341,11653,18712,23143,27524,75861,108937,870,1,75861,12341,11653,18712,23143,27524
60,882,882.000,761,1138,12629,11129,18759,23114,25989,36258,66718,881,1,36258,12629,11129,18759,23114,25989
61,988,988.000,755,1124,10703,10134,17739,22411,25607,35230,63077,987,1,35230,10703,10134,17739,22411,25607
62,949,949.000,739,1110,11418,10549,18150,23094,26867,37592,68180,949,0,37592,11418,10549,18150,23094,26867
63,989,989.000,721,1120,10260,10023,17654,21862,24586,37743,55369,988,1,37743,10260,10023,17654,21862,24586
64,932,932.000,726,1134,12019,10753,18334,21943,25463,36985,56840,931,1,36985,12019,10753,18334,21943,25463
65,941,941.000,726,1086,10597,10635,18215,23200,28680,44144,56939,941,0,44144,10597,10635,18215,23200,28680
66,853,853.000,567,1127,11540,11627,18541,23079,30329,78122,94438,852,1,78122,11540,11627,18541,23079,30329
67,979,979.000,731,1095,11353,10240,17496,21752,25635,40713,70729,979,0,40713,11353,10240,17496,21752,25635
68,957,957.000,722,1104,11990,10411,17799,22156,24485,34447,46640,956,1,34447,11990,10411,17799,22156,24485
69,954,954.000,737,1103,11769,10425,17890,22278,25022,38221,46962,954,0,38221,11769,10425,17890,22278,25022
70,956,956.000,709,1116,12144,10529,17739,22046,24708,37616,59107,955,1,37616,12144,10529,17739,22046,24708
71,957,957.000,735,1083,11247,10406,18068,22219,24933,36950,57346,956,1,36950,11247,10406,18068,22219,24933
72,827,827.000,701,1113,12016,18047,18288,22542,27189,84092,1035658,826,1,84092,12016,18047,18288,22542,27189
73,194,194.000,776,1181,14337,25948,22091,28411,33236,741307,801682,194,0,741307,14337,25948,22091,28411,33236
74,932,932.000,719,1099,12269,10734,18236,22269,25176,34118,52695,931,1,34118,12269,10734,18236,22269,25176
75,374,374.000,744,1092,12186,29809,18792,23372,27068,938996,1044707,374,0,938996,12186,29809,18792,23372,27068
76,803,803.000,754,1138,12330,11001,18637,22670,26750,36523,44061,802,1,36523,12330,11001,18637,22670,26750
77,931,931.000,732,1109,12302,10740,18281,22042,24456,34220,48685,931,0,34220,12302,10740,18281,22042,24456
78,930,930.000,712,1098,11791,10710,18433,22598,26535,45033,60021,929,1,45033,11791,10710,18433,22598,26535
79,960,960.000,718,1085,12071,10400,18085,22023,24061,35518,47525,959,1,35518,12071,10400,18085,22023,24061
80,940,940.000,700,1110,12219,10647,18228,22264,24705,32555,59888,939,1,32555,12219,10647,18228,22264,24705
81,856,856.000,732,1129,12399,11718,19288,23471,26028,70333,83622,856,0,70333,12399,11718,19288,23471,26028
82,908,908.000,713,1113,12760,10962,18440,21845,24849,37998,66158,908,0,37998,12760,10962,18440,21845,24849
83,993,993.000,710,1105,11087,10036,17792,21833,24054,34347,57867,993,0,34347,11087,10036,17792,21833,24054
84,885,885.000,756,1158,12803,11261,18581,22514,26350,39218,58434,884,1,39218,12803,11261,18581,22514,26350
85,949,949.000,742,1087,11894,10521,17802,22208,25066,35756,46055,949,0,35756,11894,10521,17802,22208,25066
86,936,936.000,737,1103,12571,10675,18109,22022,24025,36674,57072,936,0,36674,12571,10675,18109,22022,24025
87,884,884.000,694,1108,11878,11316,18129,23514,28422,74087,115094,883,1,74087,11878,11316,18129,23514,28422
88,978,978.000,729,1098,10887,10198,18040,22565,25634,37447,49493,978,0,37447,10887,10198,18040,22565,25634
89,897,897.000,735,1103,12650,11185,18478,22702,26516,42218,68362,897,0,42218,12650,11185,18478,22702,26516
90,923,923.000,734,1104,12340,10780,18686,22365,25002,36636,63928,923,0,36636,12340,10780,18686,22365,25002
91,964,964.000,722,1056,11407,10368,18304,21961,24433,34828,56840,964,0,34828,11407,10368,18304,21961,24433
92,948,948.000,724,1085,12066,10493,18492,22295,24100,33609,52207,948,0,33609,12066,10493,18492,22295,24100
93,957,957.000,746,1109,12012,10468,17883,22162,24846,36002,49434,957,0,36002,12012,10468,17883,22162,24846
94,917,917.000,729,1095,11194,10867,18102,22704,25478,77300,104785,917,0,77300,11194,10867,18102,22704,25478
95,935,935.000,737,1106,12049,10717,18071,22072,25004,35565,68382,935,0,35565,12049,10717,18071,22072,25004
96,700,700.000,724,1097,11502,21027,18171,23819,27210,842686,1031088,700,0,842686,11502,21027,18171,23819,27210
97,395,395.000,744,1181,12512,13314,18726,23999,26855,52831,452641,394,1,52831,12512,13314,18726,23999,26855
98,916,916.000,692,1119,12278,10880,18296,22905,25937,39423,51909,916,0,39423,12278,10880,18296,22905,25937
99,934,934.000,721,1081,12197,10702,18161,22258,25886,35005,54218,933,1,35005,12197,10702,18161,22258,25886
100,932,932.000,712,1092,12033,10691,18025,21900,26116,39033,67554,932,0,39033,12033,10691,18025,21900,26116
101,868,868.000,731,1111,12645,11496,19165,23057,25855,70285,86611,868,0,70285,12645,11496,19165,23057,25855
102,917,917.000,733,1096,12568,10933,18684,22060,24121,34564,57306,917,0,34564,12568,10933,18684,22060,24121
