Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,848.000,11.758,6.053,8.222,8.493,16.475,16.860,17.201,33.184,83.988,0.085
5,1106.000,9.004,6.572,8.207,8.322,8.467,8.720,16.583,17.544,57.982,0.111
10,1094.000,9.126,6.181,8.177,8.340,8.518,8.768,16.310,17.612,99.750,0.110
15,1094.200,9.122,6.495,8.158,8.335,8.536,8.799,16.185,17.203,108.112,0.110
20,1093.600,9.125,7.346,8.177,8.337,8.524,8.793,16.457,17.130,100.196,0.110
25,1120.400,8.898,7.207,8.179,8.339,8.513,8.721,9.081,17.096,91.637,0.112
30,1100.400,9.075,7.118,8.194,8.341,8.500,8.734,16.368,17.086,83.338,0.110
35,1045.600,9.544,7.425,8.197,8.344,8.529,8.846,16.696,25.609,91.705,0.105
40,1100.400,9.070,7.484,8.193,8.337,8.508,8.744,16.514,17.385,75.193,0.110
45,1103.600,9.048,7.550,8.201,8.329,8.482,8.733,16.657,17.355,69.114,0.111
50,1105.800,9.029,7.094,8.237,8.337,8.461,8.682,16.607,17.147,66.525,0.111
55,1070.200,9.318,5.978,8.218,8.338,8.491,8.717,16.565,17.964,177.145,0.107
60,1121.600,8.901,6.436,8.231,8.334,8.463,8.679,16.396,17.027,74.753,0.112
65,1084.000,9.210,7.200,8.232,8.337,8.460,8.663,16.585,25.029,150.081,0.109
70,1057.600,9.442,7.459,8.240,8.337,8.456,8.650,16.504,24.610,141.523,0.106
75,974.000,10.261,6.994,8.245,8.373,8.567,16.535,17.025,50.065,100.030,0.097
80,1066.000,9.358,7.329,8.236,8.357,8.523,8.915,16.774,17.428,99.844,0.107
85,1074.000,9.297,6.964,8.203,8.367,8.559,8.958,16.732,25.067,100.467,0.108
90,1026.000,9.724,6.897,8.189,8.356,8.560,8.937,16.774,25.124,167.745,0.103
95,1064.200,9.384,5.760,8.180,8.358,8.574,8.956,16.890,25.206,83.645,0.107
100,1081.600,9.230,7.348,8.180,8.353,8.540,8.840,16.649,17.394,116.864,0.108
105,1073.600,9.308,7.436,8.199,8.344,8.507,8.776,16.705,17.602,150.217,0.107
110,1040.000,9.589,6.867,8.180,8.350,8.541,8.835,16.731,25.551,150.084,0.104
115,992.000,10.047,7.391,8.189,8.365,8.599,16.304,16.789,41.283,142.589,0.100
