Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,24,24.000,16689,33600,34111,46027,50247,86621,100458,108465,108465
1,25,25.000,16805,25207,25583,38259,50218,66981,75251,91944,91944
2,23,23.000,1482,25211,33554,41869,50002,90099,108558,125274,125274
3,24,24.000,16412,25191,33520,43196,66916,91753,91780,91811,91811
4,25,25.000,16733,25013,33284,38425,33535,91593,91626,91878,91878
5,26,26.000,1167,25103,33340,37909,41953,58564,91797,108225,108225
6,31,31.000,16509,25007,25164,32090,33545,41727,50109,125328,125328
7,28,28.000,16411,25002,25288,35769,49899,66743,66923,75133,75133
8,29,29.000,16514,25130,33357,33987,41613,50059,58245,91597,91597
9,23,23.000,16559,25140,41850,43878,58158,58465,83394,99999,99999
10,25,25.000,16518,25074,33414,39750,41760,75127,91903,116801,116801
11,23,23.000,16497,25141,33377,43177,50262,83359,99780,99980,99980
12,25,25.000,16741,25068,33527,41113,50111,66656,66802,166651,166651
13,26,26.000,16613,25076,34035,38520,49865,66656,74867,74967,74967
14,21,21.000,16594,25179,41707,46863,58309,83289,91776,108484,108484
15,18,18.000,16558,25095,49992,54648,75063,116672,116678,116678,116678
16,27,27.000,16592,16799,25094,39319,41707,100007,108263,141699,141699
17,30,30.000,786,16676,24941,31156,41647,81995,83364,108449,108449
18,33,33.000,745,16700,17254,30620,28874,58386,91759,132953,132953
19,30,30.000,941,16650,24996,33101,41653,83453,83485,100111,100111
20,43,43.000,16544,16679,16749,23116,25114,25189,33479,108326,108326
21,46,46.000,698,16643,16727,21780,25054,33274,50231,66756,66756
22,42,42.000,16551,16671,24900,23850,25090,33350,41729,75086,75086
23,47,47.000,792,16649,16730,21146,25052,25212,41758,75007,75007
24,40,40.000,16616,16671,16745,25244,25032,50030,83306,108436,108436
25,46,46.000,653,16629,16719,21588,25034,25196,33351,116751,116751
26,48,48.000,16458,16635,16692,21198,16807,25142,33915,100005,100005
