Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2331,2331.000,1686,2674,3122,4272,3656,7288,8671,21016,109982
1,2173,2173.000,1508,2679,3367,4581,3904,6961,8937,27893,126177
2,2540,2540.000,1537,2746,3191,3933,3690,5738,7230,27071,95050
3,2831,2831.000,1527,2372,2958,3510,3515,4220,6869,9611,142998
4,2487,2487.000,1444,2821,3317,4015,3853,6070,7712,18177,136420
5,2418,2418.000,1395,3083,3510,4112,3861,4573,7761,10435,109443
6,2053,2053.000,1690,3323,3627,4886,4061,7926,8949,26858,110695
7,2497,2497.000,1408,2722,3386,3992,3876,6356,8219,17757,70267
8,2268,2268.000,1952,3172,3495,4379,3900,7488,9037,18744,126467
9,2334,2334.000,1529,3206,3515,4279,3894,6214,8441,17475,118433
10,2219,2219.000,1976,3197,3609,4483,4019,7842,8747,19105,83802
11,2187,2187.000,1598,3248,3646,4571,4065,7587,8428,25845,100420
12,2212,2212.000,1365,3267,3676,4496,4055,7648,8815,18375,101868
13,2267,2267.000,1521,3231,3553,4395,3917,7393,8591,19107,85277
14,2377,2377.000,1528,3062,3473,4193,3857,6854,8169,19642,85631
15,2499,2499.000,1560,2801,3262,4007,3775,6219,7748,23148,126243
16,2131,2131.000,1441,3082,3546,4668,4025,7456,8827,26601,109242
17,2229,2229.000,1642,3134,3524,4464,3965,7852,8648,17996,151756
18,2555,2555.000,1428,2644,3308,3901,3799,6145,7929,16865,92618
19,2156,2156.000,1631,3225,3636,4648,4135,7977,8801,19662,118432
20,2067,2067.000,2286,3498,3778,4808,4195,8290,9123,19163,76029
21,2187,2187.000,1596,3075,3492,4566,3913,7322,8952,27930,118907
22,2631,2631.000,1452,2525,3229,3781,3770,5629,7575,10581,75066
23,2179,2179.000,2122,3365,3672,4573,4025,7891,8726,18872,102370
24,2229,2229.000,1801,3314,3600,4470,3919,7740,8653,19581,85093
25,2274,2274.000,1728,3289,3594,4378,3925,6989,8402,18122,93744
26,2160,2160.000,1786,3349,3658,4626,4050,7129,8507,33821,109095
27,2154,2154.000,1898,3442,3745,4623,4060,7805,9073,18171,84315
