Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,225.800,21.096,1.198,9.374,15.535,24.625,46.462,60.739,91.063,136.919,0.047
5,420.200,14.117,1.056,7.765,11.798,16.603,21.180,26.229,49.871,629.192,0.071
10,292.600,15.739,1.033,7.634,13.090,18.979,31.636,43.885,58.910,89.567,0.064
15,404.800,13.478,1.002,7.186,12.461,16.866,21.822,31.604,49.186,79.226,0.074
20,381.000,13.955,1.114,8.482,12.641,17.262,23.833,31.597,47.104,87.177,0.072
25,325.800,16.210,1.061,8.255,13.793,19.837,32.107,41.263,61.906,96.349,0.062
30,437.400,14.134,1.256,7.810,12.039,15.878,19.451,22.215,35.290,645.662,0.071
35,295.200,16.806,1.039,7.979,13.676,21.372,36.414,42.104,55.904,102.589,0.060
40,401.400,13.379,1.171,6.824,12.101,17.179,23.657,28.591,46.634,96.787,0.075
45,376.600,13.803,0.976,6.944,12.090,17.100,24.595,36.085,54.616,115.356,0.072
50,354.800,14.911,0.931,7.845,13.101,18.374,26.978,38.781,53.339,72.774,0.067
55,448.200,12.552,1.226,7.992,11.821,15.678,19.015,21.146,27.263,639.510,0.080
60,296.800,16.697,0.934,6.979,13.098,21.167,37.529,46.003,57.132,73.802,0.060
65,469.600,11.439,0.977,5.558,9.881,14.842,19.167,23.004,37.268,1027.890,0.087
70,285.200,16.259,1.019,5.945,11.519,17.586,40.342,53.735,69.448,108.153,0.062
75,281.400,17.986,1.060,8.471,14.085,20.308,37.188,52.244,82.051,119.356,0.056
80,206.000,22.397,1.114,7.916,14.697,26.310,43.117,58.047,108.180,681.770,0.045
85,311.200,15.924,1.017,7.532,12.764,18.868,30.030,40.518,87.483,178.798,0.063
90,325.800,15.894,1.063,8.151,13.450,20.239,31.885,37.971,55.896,91.981,0.063
95,461.200,12.420,1.030,7.136,11.906,16.168,20.254,24.714,38.324,69.326,0.081
100,308.400,16.526,0.953,7.452,12.371,17.904,30.949,41.763,68.569,611.520,0.061
105,401.400,13.852,1.117,7.677,12.325,17.081,23.872,34.232,47.637,87.654,0.072
110,467.200,12.370,1.330,7.873,12.073,16.302,20.152,22.479,29.459,48.631,0.081
115,290.400,16.911,1.182,8.549,13.476,20.723,35.438,44.222,63.652,89.547,0.059
