Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,769.400,12.971,0.871,5.945,10.276,17.263,25.370,32.512,49.139,106.311,0.077
5,801.600,12.420,0.685,5.707,10.553,16.113,23.354,29.753,42.129,957.727,0.081
10,992.800,10.050,0.712,5.016,7.994,13.675,18.759,23.468,35.672,68.317,0.100
15,856.200,11.679,0.597,5.325,10.829,15.535,22.465,26.231,36.970,60.260,0.086
20,1014.400,9.831,0.617,4.947,8.162,13.288,18.554,22.611,34.411,57.605,0.102
25,827.000,12.061,0.752,5.677,11.000,16.105,22.788,27.875,38.597,63.910,0.083
30,979.200,10.196,0.664,5.098,8.495,13.773,19.082,23.294,36.087,64.613,0.098
35,899.600,11.092,0.557,5.168,10.051,14.903,20.960,25.731,36.633,60.592,0.090
40,965.200,10.346,0.564,5.242,8.684,13.752,19.403,24.227,36.138,60.380,0.097
45,927.600,10.769,0.624,5.034,9.355,14.582,20.758,25.547,35.865,57.720,0.093
50,929.400,10.742,0.643,5.246,9.050,14.303,20.214,25.503,36.777,64.431,0.093
55,943.600,10.570,0.663,4.867,8.460,14.381,20.407,25.634,37.215,61.636,0.095
60,928.000,10.755,0.553,5.276,9.479,14.238,20.309,25.740,34.866,51.677,0.093
65,1046.400,9.541,0.666,4.930,7.622,12.436,17.879,22.337,36.481,76.475,0.105
70,820.200,12.173,0.606,5.582,10.326,15.768,23.542,30.098,44.694,65.420,0.082
75,882.400,11.307,0.631,5.218,9.926,15.073,22.243,27.381,36.096,63.511,0.088
80,743.800,13.432,0.587,6.413,11.138,16.414,24.050,31.015,43.965,1018.591,0.074
85,871.800,11.447,0.590,5.420,10.384,15.468,21.719,26.069,35.665,55.968,0.087
90,1002.000,9.971,0.717,5.117,8.065,13.605,18.969,23.287,34.228,57.010,0.100
95,810.600,12.313,0.573,5.444,10.653,16.374,22.723,28.054,37.930,935.188,0.081
100,993.800,10.050,0.645,5.133,8.692,13.420,18.641,22.510,33.538,60.471,0.100
105,897.400,11.123,0.690,5.024,9.608,15.107,21.875,27.793,37.036,51.379,0.090
110,861.200,11.600,0.658,5.635,9.734,15.047,20.935,25.753,35.556,1020.728,0.086
115,938.000,10.606,0.653,5.062,8.937,14.520,20.389,24.923,34.553,75.438,0.094
