Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
87,529,529.000,1364,15772,19593,18910,23410,26106,28277,30141,32278
88,533,533.000,1599,14210,18638,18573,22732,26543,29535,49005,56948
89,562,562.000,1453,14302,17988,17845,21515,25297,27980,38854,47236
90,605,605.000,1440,13244,16824,16398,20303,22766,24513,27510,32384
91,607,607.000,1336,12958,17096,16551,20367,24038,25528,30276,34139
92,607,607.000,1844,12835,16851,16452,20611,23968,24862,28457,31698
93,632,632.000,1178,12537,16010,15813,19635,22800,24841,26473,29481
94,631,631.000,1744,12316,15367,15850,19305,23230,25085,37853,48277
95,648,648.000,1128,12053,15546,15444,19517,22528,24679,28820,33809
96,645,645.000,1372,11764,15782,16733,18918,22333,23871,27998,1013775
97,547,547.000,1247,12758,16746,16658,20308,24160,26743,42876,46822
98,679,679.000,1263,11373,14941,14753,18570,21805,23956,28274,36131
99,615,615.000,1211,11781,15725,16144,19643,24699,30149,34749,37342
100,428,428.000,1102,21821,24336,23676,27519,30600,31821,36885,44696
101,472,472.000,1577,17979,21746,20935,25285,28704,30971,35932,38705
102,549,549.000,1160,14889,18854,18260,22535,25911,27325,31309,41105
103,565,565.000,1025,13974,17813,17605,21865,25383,27713,32300,46606
104,590,590.000,1401,13098,16707,16943,20425,23858,26340,32790,43319
105,611,611.000,1405,12770,15901,16363,19559,23288,25617,29707,49077
106,612,612.000,1428,12759,16251,16310,19901,23545,25900,31122,36624
107,609,609.000,1425,12858,16444,16446,20117,24260,26081,30933,43178
108,618,618.000,1466,11924,15617,16114,19757,23816,26961,46358,54008
109,611,611.000,1691,12057,16496,16369,19968,23622,26966,48825,55689
110,627,627.000,1941,12499,16296,15933,19899,22929,24972,29001,36525
111,676,676.000,1166,11335,15298,14679,18558,21685,23567,27157,33671
112,426,426.000,1318,17140,26275,24097,30131,35373,38776,42495,47188
113,398,398.000,2481,20238,24759,24492,29389,34805,38410,41608,75425
114,458,458.000,2713,19108,22580,21881,26353,28905,30514,35870,38553
115,533,533.000,1928,16073,19309,18868,22892,25723,27620,31505,48564
116,603,603.000,1296,12603,17128,16403,20435,23543,25199,29070,39555
117,582,582.000,1402,13080,17485,17252,21602,24897,27558,32818,40256
118,643,643.000,1575,12607,15620,15474,19029,21572,23592,27768,33585
119,635,635.000,1831,12244,15598,15239,18506,21317,22984,28569,38787
