Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,7658,25759,36630,50742,56120,116993,133667,221064,223876
1,150,150.000,8696,28966,43137,67040,84303,136527,206759,259925,371199
2,171,171.000,8043,30147,50526,58857,67941,114555,136441,204980,211502
3,212,212.000,6937,26475,36887,46450,51889,92554,107860,151116,194990
4,173,173.000,6974,34288,54308,59634,82081,101389,131314,144298,154727
5,177,177.000,6353,36445,50378,54219,66180,93444,104424,125571,150239
6,229,229.000,4443,25390,33744,44567,58579,84057,104536,125606,175749
7,244,244.000,787,25489,37657,44003,50360,83851,109185,126702,175103
8,191,191.000,809,25493,33780,47429,58778,91640,125598,159016,160759
9,167,167.000,662,25380,40211,59663,92034,133476,150729,176571,265917
10,239,239.000,10705,25320,33677,44216,48997,77482,149976,160217,208859
11,215,215.000,8060,25348,39832,43936,50751,75598,83635,141193,141962
12,280,280.000,5997,25221,32893,35799,35819,57404,67328,118833,125906
13,280,280.000,663,25172,32748,36224,40492,59217,84836,107629,115459
14,289,289.000,5504,25153,27992,34046,34143,59125,67762,110401,116504
15,289,289.000,4808,25169,26431,34564,33774,42574,57566,167336,172952
16,274,274.000,7306,25185,28976,41527,41252,52033,67661,110419,1049151
17,219,219.000,6893,25123,25787,39553,34043,49221,58084,192243,696277
18,293,293.000,5695,25127,26372,36169,33909,65935,100115,116800,142689
19,278,278.000,5750,25117,25930,33535,33953,51430,69365,83161,117906
20,298,298.000,647,25074,25593,33533,33711,50759,67213,125535,132357
21,306,306.000,5447,25139,27212,32881,35358,57426,58772,60035,82862
22,334,334.000,576,25105,25433,30329,33628,41531,58361,75483,124294
23,299,299.000,594,25075,26029,33633,34044,50630,59696,108340,109690
24,293,293.000,5013,25117,25909,33059,33747,49233,58610,116798,143042
25,290,290.000,6126,25103,25621,41647,33758,48983,67904,711150,1018357
26,224,224.000,594,25052,25827,35865,33714,48769,50965,182337,477111
27,326,326.000,595,25067,25336,30576,33505,41691,58413,107762,132768
28,310,310.000,691,25110,25482,32229,33696,45327,58658,101561,133529
29,279,279.000,4356,25105,26206,35623,33975,58303,83613,126711,165129
30,305,305.000,742,25133,25405,32948,33586,41608,51970,143862,200511
31,284,284.000,5748,25091,25893,35212,33736,50486,92015,145419,150847
32,124,124.000,611,40375,90531,80289,107935,125607,166499,175405,232583
33,165,165.000,6993,32813,49982,60698,82574,101147,165280,183929,235224
34,328,328.000,5878,25077,25425,31633,33615,50037,59673,91895,93861
35,298,298.000,5899,25031,26617,32554,33810,47497,58647,100537,100894
36,314,314.000,6042,25105,25442,31449,33684,49901,58581,66921,75828
37,311,311.000,833,25074,25386,32251,33613,48956,58725,92435,132069
38,285,285.000,551,25032,26119,38605,34143,66981,100326,150855,233418
39,186,186.000,713,33349,50035,51393,71562,82264,92475,124815,125256
40,224,224.000,827,25186,33604,42261,50694,75170,83690,92279,165788
41,309,309.000,607,25087,25484,33090,33619,44009,67088,126992,136566
42,317,317.000,3994,25082,25335,30752,33467,40455,49967,102217,116625
43,310,310.000,751,25113,25497,32114,33642,50092,58588,84854,134179
44,296,296.000,6587,25086,25482,33643,33635,50213,66495,122637,134482
45,267,267.000,6629,25100,32305,38012,41872,67141,91943,109756,133713
46,296,296.000,4123,25121,32405,33609,34051,51400,65612,123412,129309
47,318,318.000,690,25095,25637,31293,33734,48427,57021,68370,83555
48,302,302.000,971,25154,28521,33204,34142,50789,66778,75332,108547
49,316,316.000,631,25062,25344,32574,33781,48912,70675,100589,124118
50,303,303.000,4245,25060,25394,32130,33523,42053,83611,101339,118334
51,333,333.000,5043,25071,25315,29782,33480,41856,50276,59406,75235
52,346,346.000,788,25063,25289,28811,33545,34341,42001,57443,94208
53,304,304.000,4489,25113,25438,32976,33611,41759,59500,124753,175441
54,306,306.000,5990,25102,26130,33278,34143,51466,75070,84284,99970
55,303,303.000,728,25117,26204,32255,33640,43028,59158,83278,97788
56,304,304.000,6499,25120,25719,33753,33813,50619,66801,91901,134068
57,157,157.000,5403,24955,25473,65328,41983,58903,341937,1011866,1031806
58,280,280.000,6664,25094,25493,33946,33781,58627,75597,84538,92371
59,297,297.000,3599,25135,25662,33820,33644,58587,74224,92759,108900
60,271,271.000,6846,25094,26149,37076,34254,58718,92643,125798,133661
61,282,282.000,896,24988,25401,35109,33585,44538,58805,217554,249440
62,307,307.000,6276,25037,25310,33149,33579,50190,58843,125938,134099
63,290,290.000,7025,25047,25358,34229,33591,65973,81997,116993,117793
