Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
87,885,885.000,2294,9058,10903,11291,12901,15242,17059,22344,28526
88,806,806.000,2274,9212,11086,12373,13336,16232,18660,74367,90039
89,657,657.000,2028,8947,10730,21242,12972,15138,18379,578834,1006757
90,418,418.000,1573,9354,11708,14435,14272,17722,20717,28028,501258
91,825,825.000,2225,8981,10889,12105,13022,15448,17297,81945,97772
92,800,800.000,2146,9239,11400,12462,13928,16836,22347,41055,65136
93,926,926.000,2340,8466,10396,10807,12574,14490,16503,21283,28856
94,252,252.000,5595,8729,10751,42519,13011,16452,22716,926442,1024677
95,712,712.000,1637,9468,11335,13075,13782,18538,23407,73698,82646
96,864,864.000,2682,9444,11324,11515,13199,15168,16790,22633,31812
97,886,886.000,2228,8928,10728,11283,12883,15762,18289,24660,30184
98,835,835.000,1842,8983,10943,11976,12926,15119,18304,71515,82094
99,898,898.000,1538,8632,10583,11095,12666,15083,17649,22981,31272
100,890,890.000,1998,8790,10873,11248,13019,15150,17317,24779,30286
101,910,910.000,2098,8667,10625,10962,12679,14751,16777,22147,30362
102,841,841.000,1763,8715,10666,11897,13069,15429,18128,69164,74612
103,896,896.000,1669,8910,10720,11174,12687,15053,17460,24931,40611
104,905,905.000,1770,8633,10708,11049,12689,14825,16726,23022,36230
105,839,839.000,1720,8791,10555,11878,12772,15385,18854,73517,82222
106,896,896.000,2069,8926,10751,11184,12974,15236,16976,23611,30234
107,897,897.000,2045,8695,10566,11105,12462,15011,16921,24355,63759
108,873,873.000,2155,8851,10970,11478,13181,15850,19234,25528,38151
109,812,812.000,1906,8828,10819,12288,12944,16585,19730,83356,97122
110,910,910.000,2234,8450,10408,10974,12640,15189,17501,23870,28681
111,826,826.000,2477,8656,10722,12126,13000,15652,18658,80184,93767
112,222,222.000,3619,8402,10573,47050,12982,16171,21659,946391,1011267
113,851,851.000,1768,8808,10782,11194,12736,15244,17700,23194,35397
114,899,899.000,1773,8745,10567,11134,12855,14849,17506,25293,31903
115,907,907.000,2409,8542,10387,11523,12501,14788,16537,75505,85383
116,842,842.000,1911,8777,11082,11328,13113,15019,17797,23646,32978
117,902,902.000,2424,8778,10476,11055,12685,15055,17818,23343,28577
118,889,889.000,1786,8661,10684,11241,12897,15606,18029,25266,29915
119,840,840.000,1660,8809,10476,11732,12476,14639,16795,76356,90447
