Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
0,262,262.000,1885,10954,22357,39459,53162,107907,120821,165499,167641,261,1,165499,22357,39459,53162,107907,120821
1,374,374.000,1696,7338,15513,25566,28628,73304,93193,115570,135279,374,0,115570,15513,25566,28628,73304,93193
2,382,382.000,1516,5811,15446,26975,32985,81606,91822,135420,159956,382,0,135420,15446,26975,32985,81606,91822
3,365,365.000,798,6550,16460,27262,33415,76419,90538,110021,117813,365,0,110021,16460,27262,33415,76419,90538
4,428,428.000,1223,5603,15100,23524,25311,67126,99388,112227,117336,427,1,112227,15100,23524,25311,67126,99388
5,395,395.000,1134,5437,15451,24510,29416,60627,89565,137967,145486,394,1,137967,15451,24510,29416,60627,89565
6,396,396.000,700,5022,13290,25254,25113,66483,77891,276951,302369,395,1,276951,13290,25254,25113,66483,77891
7,360,360.000,1053,5614,16743,28372,33212,73622,105901,146318,159769,359,1,146318,16743,28372,33212,73622,105901
8,315,315.000,1109,7191,17387,31910,58989,84112,92586,121412,125785,314,1,121412,17387,31910,58989,84112,92586
9,321,321.000,1146,11425,23298,30630,51238,70824,84224,95509,104288,320,1,95509,23298,30630,51238,70824,84224
10,507,507.000,689,3810,11657,19688,24867,58370,74458,103715,112044,506,1,103715,11657,19688,24867,58370,74458
11,513,513.000,735,4277,10961,19723,21998,64230,85272,98271,103796,512,1,98271,10961,19723,21998,64230,85272
12,402,402.000,628,5349,16047,24802,33097,64780,80497,120185,134974,401,1,120185,16047,24802,33097,64780,80497
13,674,674.000,635,3152,9138,15254,16736,28848,56914,107021,117529,673,1,107021,9138,15254,16736,28848,56914
14,384,384.000,627,4104,12582,25024,25073,63727,84808,265005,276580,384,0,265005,12582,25024,25073,63727,84808
15,436,436.000,648,3222,13848,22386,24938,78737,90265,108372,113563,435,1,108372,13848,22386,24938,78737,90265
16,431,431.000,725,4551,15867,23946,25494,78076,86822,101993,117587,430,1,101993,15867,23946,25494,78076,86822
17,292,292.000,651,11271,24717,33928,58415,79179,86259,111824,115686,292,0,111824,24717,33928,58415,79179,86259
18,513,513.000,668,3416,11022,18969,23916,52938,80330,92141,116189,512,1,92141,11022,18969,23916,52938,80330
19,501,501.000,528,4227,13310,20273,25111,54726,74113,97508,101015,500,1,97508,13310,20273,25111,54726,74113
20,321,321.000,663,13690,25050,31202,46163,70410,78394,92647,103588,320,1,92647,25050,31202,46163,70410,78394
21,209,209.000,1194,6451,16380,74915,34095,79032,101994,1093544,1100812,208,1,1093544,16380,74915,34095,79032,101994
22,139,139.000,1304,10867,24399,32781,47878,88955,106460,126199,126903,138,1,126199,24399,32781,47878,88955,106460
23,397,397.000,1205,3902,12987,25269,25191,63663,82626,271678,277177,397,0,271678,12987,25269,25191,63663,82626
24,372,372.000,1117,5040,14002,26332,25339,76697,98389,199696,200187,371,1,199696,14002,26332,25339,76697,98389
25,729,729.000,965,2763,8920,13866,16524,30871,49079,70161,84400,728,1,70161,8920,13866,16524,30871,49079
26,463,463.000,1255,4631,13592,20825,25024,58286,79369,98116,109804,462,1,98116,13592,20825,25024,58286,79369
27,516,516.000,537,3908,13855,19310,24902,55228,71928,92590,101750,515,1,92590,13855,19310,24902,55228,71928
28,528,528.000,517,2954,10885,18927,21538,54862,80275,107114,134071,528,0,107114,10885,18927,21538,54862,80275
29,350,350.000,752,5683,16788,29054,44012,80259,95135,107727,118491,350,0,107727,16788,29054,44012,80259,95135
30,350,350.000,579,8300,22410,28941,42764,68386,79350,99008,115030,349,1,99008,22410,28941,42764,68386,79350
31,430,430.000,582,4619,12335,22854,25365,67565,77364,129183,148414,429,1,129183,12335,22854,25365,67565,77364
32,483,483.000,898,3469,9082,20390,22606,51379,77437,216117,221411,482,1,216117,9082,20390,22606,51379,77437
33,511,511.000,638,4200,13336,19577,25300,53883,64238,79646,92792,510,1,79646,13336,19577,25300,53883,64238
34,431,431.000,617,4211,14028,23401,27906,64966,83534,100805,118531,430,1,100805,14028,23401,27906,64966,83534
35,372,372.000,1167,6722,19913,27712,40419,67116,86340,106618,114462,371,1,106618,19913,27712,40419,67116,86340
36,334,334.000,642,5337,15317,28729,34778,84801,104294,117750,128048,333,1,117750,15317,28729,34778,84801,104294
37,616,616.000,563,4268,11762,16868,22612,41154,60602,81748,93821,615,1,81748,11762,16868,22612,41154,60602
38,333,333.000,1166,5269,17080,28911,40384,84407,90853,109683,120799,332,1,109683,17080,28911,40384,84407,90853
39,512,512.000,562,4469,13084,19818,25180,56169,67792,86022,98675,511,1,86022,13084,19818,25180,56169,67792
40,291,291.000,1031,7743,20075,33787,43795,85397,95578,199200,204649,290,1,199200,20075,33787,43795,85397,95578
41,499,499.000,626,4619,15332,20516,25154,58271,68872,93870,118712,499,0,93870,15332,20516,25154,58271,68872
42,370,370.000,1074,4957,13671,27248,28240,76625,101875,189635,192715,369,1,189635,13671,27248,28240,76625,101875
43,420,420.000,573,5401,14881,23008,25382,65089,81467,105925,151126,419,1,105925,14881,23008,25382,65089,81467
44,623,623.000,593,3219,12534,16710,20088,33849,64657,88081,131688,622,1,88081,12534,16710,20088,33849,64657
45,587,587.000,1100,3230,11015,16651,19523,40697,58981,102688,123022,586,1,102688,11015,16651,19523,40697,58981
46,511,511.000,676,3704,14827,19124,25141,52135,60357,81009,109658,510,1,81009,14827,19124,25141,52135,60357
47,435,435.000,765,5125,13876,22870,25272,61980,92553,111129,140761,434,1,111129,13876,22870,25272,61980,92553
48,442,442.000,844,4627,14727,25430,25295,66211,77651,212802,242789,442,0,212802,14727,25430,25295,66211,77651
49,443,443.000,1080,3598,12023,20430,24665,58469,87220,107327,118320,443,0,107327,12023,20430,24665,58469,87220
50,294,294.000,1103,12333,24292,33863,51810,85808,100891,117887,123617,294,0,117887,24292,33863,51810,85808,100891
51,292,292.000,704,13491,24714,33417,52560,84361,93197,110259,126463,291,1,110259,24714,33417,52560,84361,93197
52,459,459.000,604,4938,15475,21648,25763,55629,66120,100007,126252,458,1,100007,15475,21648,25763,55629,66120
53,634,634.000,890,3014,10997,15915,16864,33905,65909,90305,111218,633,1,90305,10997,15915,16864,33905,65909
54,365,365.000,1048,7413,22601,27765,44791,65726,77975,91456,100176,364,1,91456,22601,27765,44791,65726,77975
55,510,510.000,613,3223,13434,19505,25045,55682,70071,84032,102215,510,0,84032,13434,19505,25045,55682,70071
56,583,583.000,620,3371,10490,17069,22390,46256,61283,83158,92506,583,0,83158,10490,17069,22390,46256,61283
57,538,538.000,599,3414,8195,18416,22034,48144,69760,164652,167018,537,1,164652,8195,18416,22034,48144,69760
58,432,432.000,708,5038,13728,23583,25288,61838,85939,143149,151435,431,1,143149,13728,23583,25288,61838,85939
59,421,421.000,748,5654,16260,23708,26270,63201,80361,102951,110527,420,1,102951,16260,23708,26270,63201,80361
60,292,292.000,596,16808,25372,34089,50906,65842,81386,104093,111655,291,1,104093,25372,34089,50906,65842,81386
