Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
52,797,797.000,800,3835,7569,12306,15741,29408,43176,55650,93229,797,0,55650,7569,12306,15741,29408,43176
53,842,842.000,1159,3823,7256,12447,14585,24118,37534,59467,940935,841,1,59467,7256,12447,14585,24118,37534
54,811,811.000,826,4360,9215,11709,16602,23151,30024,43546,72729,810,1,43546,9215,11709,16602,23151,30024
55,1114,1114.000,781,3602,5930,8947,12641,18143,23106,35665,53115,1114,0,35665,5930,8947,12641,18143,23106
56,1086,1086.000,660,3579,6115,9151,13266,18793,23535,37524,67032,1086,0,37524,6115,9151,13266,18793,23535
57,387,387.000,1137,3924,6878,25854,14801,21821,29165,642635,646574,386,1,642635,6878,25854,14801,21821,29165
58,1091,1091.000,986,3501,5900,9237,13555,19151,24011,36091,60548,1091,0,36091,5900,9237,13555,19151,24011
59,953,953.000,611,3457,5806,10447,13410,24446,36020,50250,102002,953,0,50250,5806,10447,13410,24446,36020
60,450,450.000,1132,5055,18029,22170,36274,47664,53518,63355,87087,449,1,63355,18029,22170,36274,47664,53518
61,508,508.000,674,6281,17549,19636,28801,41113,46850,54192,108331,508,0,54192,17549,19636,28801,41113,46850
62,703,703.000,978,4524,10243,14157,19133,32105,38023,62169,78782,703,0,62169,10243,14157,19133,32105,38023
63,795,795.000,826,3927,8224,12528,16965,28556,37511,55268,72702,794,1,55268,8224,12528,16965,28556,37511
64,867,867.000,755,3676,7657,11602,15023,27071,37148,54671,66629,866,1,54671,7657,11602,15023,27071,37148
65,927,927.000,606,3718,6580,10722,15016,22595,32455,46473,74229,927,0,46473,6580,10722,15016,22595,32455
66,1127,1127.000,788,3843,5569,8867,11699,17864,22835,42591,74545,1126,1,42591,5569,8867,11699,17864,22835
67,1303,1303.000,768,4015,5554,7710,8396,14603,19287,37519,73965,1302,1,37519,5554,7710,8396,14603,19287
68,760,760.000,688,5700,9592,13176,15632,21958,27027,47600,1015603,760,0,47600,9592,13176,15632,21958,27027
69,1061,1061.000,690,4050,6202,9298,12437,18685,23050,39650,73803,1060,1,39650,6202,9298,12437,18685,23050
70,1173,1173.000,743,3959,5825,8495,10931,16796,20788,39280,44704,1172,1,39280,5825,8495,10931,16796,20788
71,653,653.000,921,4333,8468,15596,20492,42166,53525,67145,85564,652,1,67145,8468,15596,20492,42166,53525
72,283,283.000,1069,11156,35902,34497,51855,64796,72961,94572,105077,283,0,94572,35902,34497,51855,64796,72961
73,383,383.000,875,8016,21146,26275,39940,49678,61366,119363,120649,382,1,119363,21146,26275,39940,49678,61366
74,339,339.000,677,9477,25477,31974,46357,68082,82785,118721,134712,339,0,118721,25477,31974,46357,68082,82785
75,463,463.000,765,5948,13761,19852,27417,44149,69171,97835,132054,462,1,97835,13761,19852,27417,44149,69171
76,618,618.000,935,4251,9397,16249,20273,40592,60092,83398,104224,617,1,83398,9397,16249,20273,40592,60092
77,556,556.000,660,5280,12429,17756,21612,43849,58801,78883,91128,555,1,78883,12429,17756,21612,43849,58801
78,802,802.000,1039,4261,8562,12466,16438,27152,35863,59337,66738,802,0,59337,8562,12466,16438,27152,35863
79,789,789.000,895,3992,7160,19282,14767,27266,36633,663432,689427,788,1,663432,7160,19282,14767,27266,36633
80,530,530.000,1169,3841,5972,8883,12840,17818,21469,34036,57419,529,1,34036,5972,8883,12840,17818,21469
81,442,442.000,1161,3951,11947,23380,33076,64346,85568,118157,138070,442,0,118157,11947,23380,33076,64346,85568
82,335,335.000,1173,11104,24912,28984,36786,72467,80107,92542,127272,335,0,92542,24912,28984,36786,72467,80107
83,457,457.000,1367,9379,20626,21981,29968,38783,53972,78525,89530,456,1,78525,20626,21981,29968,38783,53972
84,531,531.000,996,5812,18028,18807,27731,37195,45823,52535,64920,530,1,52535,18028,18807,27731,37195,45823
85,571,571.000,795,6253,12963,17874,27546,39078,46979,64917,77082,570,1,64917,12963,17874,27546,39078,46979
86,392,392.000,1342,5478,14602,25476,31504,57784,103354,165963,229791,391,1,165963,14602,25476,31504,57784,103354
87,744,744.000,775,3973,8358,13183,17122,29676,39680,87752,112646,743,1,87752,8358,13183,17122,29676,39680
88,953,953.000,625,3712,6623,10381,14193,21614,29369,46247,61939,952,1,46247,6623,10381,14193,21614,29369
89,1043,1043.000,611,3795,6879,9698,13407,19490,23734,43934,75909,1043,0,43934,6879,9698,13407,19490,23734
90,1000,1000.000,1043,3829,7100,10093,13991,19745,27093,45696,64779,999,1,45696,7100,10093,13991,19745,27093
91,439,439.000,1110,7972,23458,22261,32854,42276,51634,64257,78179,439,0,64257,23458,22261,32854,42276,51634
92,565,565.000,888,5898,15726,17560,25944,35928,41677,46787,65513,564,1,46787,15726,17560,25944,35928,41677
93,679,679.000,1229,4457,10182,14689,18996,30918,45609,75256,111006,678,1,75256,10182,14689,18996,30918,45609
94,779,779.000,854,4263,9135,12869,16927,28742,36813,62824,88243,778,1,62824,9135,12869,16927,28742,36813
95,828,828.000,775,4071,8303,12157,16746,25352,36052,54128,68818,827,1,54128,8303,12157,16746,25352,36052
96,935,935.000,729,3690,7363,10600,14759,22117,31297,42550,57576,934,1,42550,7363,10600,14759,22117,31297
97,1188,1188.000,964,3563,5368,8380,12164,17226,20796,33673,73333,1187,1,33673,5368,8380,12164,17226,20796
98,1089,1089.000,820,3736,6124,9185,12997,19408,23166,33569,55612,1089,0,33569,6124,9185,12997,19408,23166
99,1018,1018.000,661,3760,6342,9769,13301,20226,24969,40502,61853,1017,1,40502,6342,9769,13301,20226,24969
100,458,458.000,707,3581,6295,21910,13374,20267,28994,604650,631612,458,0,604650,6295,21910,13374,20267,28994
101,1138,1138.000,781,3568,5629,8749,12351,18088,21517,34788,51318,1138,0,34788,5629,8749,12351,18088,21517
102,547,547.000,692,4481,11504,18504,27691,47704,54402,70827,115298,546,1,70827,11504,18504,27691,47704,54402
103,518,518.000,864,5282,17988,19707,30624,38912,45148,83872,115615,517,1,83872,17988,19707,30624,38912,45148
104,593,593.000,600,4603,10911,16339,22765,37340,47056,74545,107067,593,0,74545,10911,16339,22765,37340,47056
105,709,709.000,713,4312,10049,13980,19149,29684,37312,64356,94902,709,0,64356,10049,13980,19149,29684,37312
106,858,858.000,786,3964,8270,11611,16801,25098,32067,42895,66659,858,0,42895,8270,11611,16801,25098,32067
107,903,903.000,621,3743,6557,11224,15293,26208,35900,46933,81910,902,1,46933,6557,11224,15293,26208,35900
108,889,889.000,652,3865,7687,11156,15469,23653,33420,47370,60864,888,1,47370,7687,11156,15469,23653,33420
109,1129,1129.000,756,3650,5990,8826,12464,18139,22126,35031,76296,1128,1,35031,5990,8826,12464,18139,22126
110,1064,1064.000,676,3720,6511,10229,13854,18685,22572,35540,1008007,1063,1,35540,6511,10229,13854,18685,22572
111,769,769.000,1090,4815,9883,11776,16684,22928,28404,37465,69878,768,1,37465,9883,11776,16684,22928,28404
112,1125,1125.000,1058,3614,5976,8879,12648,17830,21320,35744,42679,1124,1,35744,5976,8879,12648,17830,21320
113,1135,1135.000,650,3537,5871,8838,12977,18048,21095,33612,66755,1134,1,33612,5871,8838,12977,18048,21095
114,853,853.000,641,3606,6905,11780,14345,27024,39167,63560,102419,852,1,63560,6905,11780,14345,27024,39167
115,470,470.000,1032,6735,15402,21030,33249,46066,52761,66615,77578,469,1,66615,15402,21030,33249,46066,52761
116,530,530.000,1047,4996,14578,18948,28155,44508,56167,69714,76770,529,1,69714,14578,18948,28155,44508,56167
117,699,699.000,841,4474,10053,14198,19930,31916,38232,64749,86397,699,0,64749,10053,14198,19930,31916,38232
118,830,830.000,897,3808,8170,12307,15614,27510,38457,64111,72590,830,0,64111,8170,12307,15614,27510,38457
119,955,955.000,755,3595,6464,10086,13979,21256,30231,45795,64965,955,0,45795,6464,10086,13979,21256,30231
