Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
54,302,302.000,551,2242,32408,33382,52356,75526,93817,110546,131710,301,1,110546,32408,33382,52356,75526,93817
55,371,371.000,673,1837,22063,27005,43455,60312,76418,101646,110195,370,1,101646,22063,27005,43455,60312,76418
56,435,435.000,456,1725,17323,23078,36160,56113,71163,101391,118474,435,0,101391,17323,23078,36160,56113,71163
57,399,399.000,561,1681,18997,25060,44487,59790,67890,90185,106532,399,0,90185,18997,25060,44487,59790,67890
58,370,370.000,674,1935,23912,26718,44182,58409,69834,92832,109693,369,1,92832,23912,26718,44182,58409,69834
59,777,777.000,521,1421,12495,12784,18240,26779,34650,51859,86075,777,0,51859,12495,12784,18240,26779,34650
60,714,714.000,525,1619,14214,13967,18807,31596,40100,62343,93332,714,0,62343,14214,13967,18807,31596,40100
61,413,413.000,570,1621,15866,24241,41409,62037,72068,98207,192941,412,1,98207,15866,24241,41409,62037,72068
62,391,391.000,520,1714,21043,25785,45450,58349,64322,90056,122539,391,0,90056,21043,25785,45450,58349,64322
63,421,421.000,540,1668,20847,23609,39552,52727,64063,77024,102434,421,0,77024,20847,23609,39552,52727,64063
64,466,466.000,583,1689,19067,21849,38693,47945,57552,71241,87001,466,0,71241,19067,21849,38693,47945,57552
65,444,444.000,584,1643,17424,22227,38013,54539,63555,78233,123385,444,0,78233,17424,22227,38013,54539,63555
66,458,458.000,533,1958,18518,21885,36846,52612,61346,75038,82864,457,1,75038,18518,21885,36846,52612,61346
67,414,414.000,528,1787,20875,24020,38721,53510,64566,84562,99025,413,1,84562,20875,24020,38721,53510,64566
68,437,437.000,548,1501,21272,22715,37038,52883,55930,73526,113500,436,1,73526,21272,22715,37038,52883,55930
69,485,485.000,576,1920,17735,20494,34947,45698,56160,73593,94049,484,1,73593,17735,20494,34947,45698,56160
70,489,489.000,561,1719,17556,20440,36071,44825,54134,65977,84988,488,1,65977,17556,20440,36071,44825,54134
71,491,491.000,583,1904,17866,20401,35263,46328,55086,73301,104292,490,1,73301,17866,20401,35263,46328,55086
72,555,555.000,552,1600,14587,17973,29358,44417,52888,62664,74345,554,1,62664,14587,17973,29358,44417,52888
73,517,517.000,656,1752,17196,19358,34033,42495,52798,65068,73940,517,0,65068,17196,19358,34033,42495,52798
74,506,506.000,538,1753,18380,19916,34635,42661,52832,64998,81506,505,1,64998,18380,19916,34635,42661,52832
75,474,474.000,513,1876,19063,20822,34969,44838,53739,71571,79267,473,1,71571,19063,20822,34969,44838,53739
76,505,505.000,738,1597,16847,19833,35076,44544,52302,64088,80776,504,1,64088,16847,19833,35076,44544,52302
77,457,457.000,648,1716,19315,22161,36361,47869,60455,94897,111319,456,1,94897,19315,22161,36361,47869,60455
78,475,475.000,691,1795,17706,20761,34832,49097,59363,84868,94732,475,0,84868,17706,20761,34832,49097,59363
79,448,448.000,600,1782,17123,22924,35334,48527,58926,78644,965184,447,1,78644,17123,22924,35334,48527,58926
80,486,486.000,553,1818,15123,19852,33600,50986,58774,78563,89578,485,1,78563,15123,19852,33600,50986,58774
81,508,508.000,557,1650,16779,19874,32946,46791,61590,79363,96454,507,1,79363,16779,19874,32946,46791,61590
82,540,540.000,617,1469,15777,18669,33621,42394,52650,70816,86930,539,1,70816,15777,18669,33621,42394,52650
83,496,496.000,590,1698,17549,19745,34147,44012,52789,76095,88584,495,1,76095,17549,19745,34147,44012,52789
84,475,475.000,596,1672,19035,21007,34654,50147,53197,69335,76691,474,1,69335,19035,21007,34654,50147,53197
85,528,528.000,551,1620,16454,19168,33025,43768,52257,69450,82402,528,0,69450,16454,19168,33025,43768,52257
86,476,476.000,566,1613,17391,21085,34671,51540,60024,77286,96895,476,0,77286,17391,21085,34671,51540,60024
87,517,517.000,507,1679,15762,19295,32708,45832,52798,67961,87818,517,0,67961,15762,19295,32708,45832,52798
88,459,459.000,581,1757,18284,21460,34753,51282,58019,83340,94759,458,1,83340,18284,21460,34753,51282,58019
89,411,411.000,571,1889,20621,24354,42105,55850,67040,71883,84674,410,1,71883,20621,24354,42105,55850,67040
90,229,229.000,740,2190,28294,44716,51079,69591,85962,400575,424509,229,0,400575,28294,44716,51079,69591,85962
91,368,368.000,498,1751,21686,26628,42539,61114,71007,133606,136220,367,1,133606,21686,26628,42539,61114,71007
92,376,376.000,553,1762,17681,27154,41672,59849,76130,204820,245592,376,0,204820,17681,27154,41672,59849,76130
93,468,468.000,577,1933,18410,21087,34670,50246,54646,68277,76065,467,1,68277,18410,21087,34670,50246,54646
94,451,451.000,598,1736,18613,21730,34260,53878,61240,75392,82897,451,0,75392,18613,21730,34260,53878,61240
95,375,375.000,698,1886,24512,27009,48474,57132,67601,94658,142273,374,1,94658,24512,27009,48474,57132,67601
96,431,431.000,739,1669,16321,23154,38387,53720,66097,115695,182620,431,0,115695,16321,23154,38387,53720,66097
97,484,484.000,689,1639,7460,21328,27246,60379,81596,156967,231617,483,1,156967,7460,21328,27246,60379,81596
98,512,512.000,745,1801,10770,18710,24569,47551,64154,103137,176121,511,1,103137,10770,18710,24569,47551,64154
99,470,470.000,641,1695,16946,21503,38681,49682,59180,84364,118113,469,1,84364,16946,21503,38681,49682,59180
100,584,584.000,585,1907,10872,16885,26993,40271,54179,66324,86856,583,1,66324,10872,16885,26993,40271,54179
101,398,398.000,656,2197,20037,25526,43005,62269,64906,87479,97824,397,1,87479,20037,25526,43005,62269,64906
102,442,442.000,505,1727,19575,22580,38274,53793,59206,82771,91040,441,1,82771,19575,22580,38274,53793,59206
103,482,482.000,576,1900,19263,20561,35740,45327,52791,62851,81353,481,1,62851,19263,20561,35740,45327,52791
104,490,490.000,592,1763,16695,20318,35467,51015,57368,73002,111271,489,1,73002,16695,20318,35467,51015,57368
105,523,523.000,545,1569,15523,19250,33485,46847,55523,71023,99745,523,0,71023,15523,19250,33485,46847,55523
106,512,512.000,537,1551,15867,19336,30160,46204,56353,72642,94713,512,0,72642,15867,19336,30160,46204,56353
107,445,445.000,579,1667,20143,22498,36799,51092,56535,73376,79662,444,1,73376,20143,22498,36799,51092,56535
108,469,469.000,538,1634,18403,21295,35505,50241,57573,70400,105134,469,0,70400,18403,21295,35505,50241,57573
109,459,459.000,620,1712,19237,21725,35343,45755,54574,70948,94612,459,0,70948,19237,21725,35343,45755,54574
110,507,507.000,668,1523,17664,19624,34002,43617,52273,72840,81775,506,1,72840,17664,19624,34002,43617,52273
111,487,487.000,562,1726,18402,20528,35100,45400,53503,69284,89898,487,0,69284,18402,20528,35100,45400,53503
112,447,447.000,567,1771,18792,22487,35131,52883,63545,75043,97397,447,0,75043,18792,22487,35131,52883,63545
113,493,493.000,579,1602,18008,20394,33667,45984,53748,70205,77603,492,1,70205,18008,20394,33667,45984,53748
114,492,492.000,690,1605,16510,20296,34544,47902,57709,78424,92171,492,0,78424,16510,20296,34544,47902,57709
115,489,489.000,666,1619,18383,20375,34700,43963,52548,73350,86152,489,0,73350,18383,20375,34700,43963,52548
116,543,543.000,554,1686,13582,18403,30466,44302,57072,72363,79896,542,1,72363,13582,18403,30466,44302,57072
117,500,500.000,560,1560,16669,20064,33711,50606,60532,81762,104436,500,0,81762,16669,20064,33711,50606,60532
118,483,483.000,545,1480,17980,20724,34254,45489,58697,93311,103769,482,1,93311,17980,20724,34254,45489,58697
119,379,379.000,604,2329,25183,24930,41827,50174,58725,67930,78387,379,0,67930,25183,24930,41827,50174,58725
