Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
53,722,722.000,3431,11021,13197,13883,15737,18998,22041,30288,38605,722,0,30288,13197,13883,15737,18998,22041
54,661,661.000,2722,11345,13569,15083,16145,19520,25285,71973,76840,660,1,71973,13569,15083,16145,19520,25285
55,718,718.000,2710,11006,13226,13950,15958,18997,22347,27139,45868,718,0,27139,13226,13950,15958,18997,22347
56,728,728.000,4250,10724,12922,13692,15734,18320,21610,29131,40246,727,1,29131,12922,13692,15734,18320,21610
57,699,699.000,3441,11095,13568,14328,16303,19784,23417,32565,35458,698,1,32565,13568,14328,16303,19784,23417
58,654,654.000,3496,11224,13840,15277,16184,20106,25880,75398,91416,653,1,75398,13840,15277,16184,20106,25880
59,694,694.000,2938,11118,13396,14336,16339,19557,23223,31341,44094,693,1,31341,13396,14336,16339,19557,23223
60,705,705.000,3500,10965,13383,14168,15937,19269,23495,31906,41923,704,1,31906,13383,14168,15937,19269,23495
61,698,698.000,2159,10863,13160,14340,16071,19682,24450,38818,50322,697,1,38818,13160,14340,16071,19682,24450
62,668,668.000,4843,11316,13765,14943,16701,20323,26443,43467,50598,667,1,43467,13765,14943,16701,20323,26443
63,650,650.000,3126,11342,13912,15329,16356,19790,24278,81831,93094,649,1,81831,13912,15329,16356,19790,24278
64,693,693.000,2550,11346,13716,14426,16406,19036,22831,33657,45741,693,0,33657,13716,14426,16406,19036,22831
65,708,708.000,2756,10923,13368,14092,16199,19235,22592,28920,43148,707,1,28920,13368,14092,16199,19235,22592
66,694,694.000,3479,11228,13596,14421,16425,19830,22193,30189,52241,693,1,30189,13596,14421,16425,19830,22193
67,718,718.000,4239,10860,13458,13864,15853,18175,20685,28739,41369,718,0,28739,13458,13864,15853,18175,20685
68,681,681.000,2602,10864,13123,14730,15907,19638,24640,70417,84835,680,1,70417,13123,14730,15907,19638,24640
69,723,723.000,3445,10811,13073,13787,15759,18618,21949,32666,35721,722,1,32666,13073,13787,15759,18618,21949
70,715,715.000,3765,10998,13415,13986,16024,18789,21938,28506,45334,714,1,28506,13415,13986,16024,18789,21938
71,737,737.000,2685,10902,13101,13608,15679,17874,20110,27301,34712,736,1,27301,13101,13608,15679,17874,20110
72,723,723.000,3390,10765,13345,13721,15728,18549,21334,28574,33324,723,0,28574,13345,13721,15728,18549,21334
73,674,674.000,2992,10977,13283,14844,15835,19248,23164,74460,86435,674,0,74460,13283,14844,15835,19248,23164
74,717,717.000,2457,10921,13243,13938,15982,18518,21854,31445,42129,716,1,31445,13243,13938,15982,18518,21854
75,716,716.000,2864,10995,13437,13930,15886,18511,23008,27770,41559,715,1,27770,13437,13930,15886,18511,23008
76,723,723.000,3774,11004,13326,13803,15740,18335,20902,28977,41271,722,1,28977,13326,13803,15740,18335,20902
77,719,719.000,3049,11029,13517,13949,15988,18570,22525,27899,45253,719,0,27899,13517,13949,15988,18570,22525
78,668,668.000,3842,11113,13518,14917,16022,18641,21630,78078,107465,667,1,78078,13518,14917,16022,18641,21630
79,699,699.000,2623,11208,13473,14288,16003,18831,23583,32755,51052,698,1,32755,13473,14288,16003,18831,23583
80,692,692.000,2424,11394,13704,14426,16420,19778,22752,30530,38881,691,1,30530,13704,14426,16420,19778,22752
81,732,732.000,3360,10756,13086,13646,15418,17702,21378,29206,43231,731,1,29206,13086,13646,15418,17702,21378
82,183,183.000,5605,11435,14269,60637,16862,19971,284968,1011833,1015656,182,1,1011833,14269,60637,16862,19971,284968
