Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,830,830.000,2358,5324,6579,12927,10220,17655,40269,149495,333869
1,383,383.000,2893,7602,12889,24366,20550,44524,134269,190683,228635
2,392,392.000,3300,8560,12691,27678,21440,61568,169477,219032,292916
3,344,344.000,2974,5649,10467,28074,24174,89569,160189,185096,198118
4,224,224.000,3164,4391,6814,45014,14713,115419,237483,443244,569594
5,456,456.000,3103,5142,8698,20652,16157,64133,88463,129783,213257
6,417,417.000,3212,9244,12769,25105,19632,54167,123629,160445,213449
7,420,420.000,2101,5949,10775,24656,18251,80802,120450,169066,288330
8,348,348.000,2279,7437,11928,26983,24336,73556,134508,175752,248924
9,404,404.000,2777,8372,12009,24394,21067,54975,108382,173349,241437
10,430,430.000,3270,6089,10929,24243,21563,68177,110388,168576,225312
11,325,325.000,2978,7116,12832,29514,25287,89251,147018,169736,210403
12,467,467.000,2336,6480,10508,21028,19895,53560,82843,134359,242298
13,388,388.000,2746,7371,11488,26995,20177,87211,126618,200387,262517
14,397,397.000,2184,5967,9694,24885,16519,75342,138823,186817,277512
15,473,473.000,2158,6826,10316,20397,18024,43354,83490,154590,174646
16,383,383.000,3229,7404,11876,26094,20411,87754,109478,173409,212600
17,485,485.000,2251,5255,10103,21463,17771,52651,101316,155987,231283
18,415,415.000,2186,5539,11058,23931,20273,85914,113400,164639,243868
19,396,396.000,2102,6513,10353,26369,19758,102734,129466,176607,239698
20,337,337.000,2053,5970,10473,28227,29683,83840,127687,175332,236423
21,454,454.000,2576,4472,8145,21592,25791,64251,87255,129966,196873
22,382,382.000,2761,4939,7244,26292,37271,75831,121214,182628,197965
23,406,406.000,2650,6203,9156,24855,25910,71437,106818,154050,208330
24,163,163.000,2317,5986,8948,60661,55133,154105,509049,550987,661297
25,334,334.000,2259,7559,13307,31257,44862,94031,109687,167700,182229
26,86,86.000,19323,42886,54614,115743,85269,545357,554748,616325,616325
