Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
53,898,898.000,1045,7998,11090,11144,14137,16819,19546,30352,36953,898,0,30352,11090,11144,14137,16819,19546
54,874,874.000,1322,7768,10541,11409,13853,16614,19734,62017,76700,873,1,62017,10541,11409,13853,16614,19734
55,896,896.000,1236,8166,10807,11129,14116,16816,19897,26848,38111,895,1,26848,10807,11129,14116,16816,19897
56,922,922.000,965,7747,10615,10815,13587,16098,18597,29930,42052,921,1,29930,10615,10815,13587,16098,18597
57,902,902.000,905,7650,10511,11060,14034,16876,20632,30581,44788,902,0,30581,10511,11060,14034,16876,20632
58,888,888.000,947,7522,10522,11256,13933,17031,20333,59531,75920,887,1,59531,10522,11256,13933,17031,20333
59,877,877.000,1171,7985,10760,11403,13795,17718,22541,33255,46711,877,0,33255,10760,11403,13795,17718,22541
60,899,899.000,1172,7974,10480,11067,13662,16471,21396,34634,45592,898,1,34634,10480,11067,13662,16471,21396
61,694,694.000,1195,7523,10568,20058,13897,17293,22280,644481,658723,693,1,644481,10568,20058,13897,17293,22280
62,485,485.000,1226,8043,11146,12501,14667,20172,22786,63284,75167,485,0,63284,11146,12501,14667,20172,22786
63,904,904.000,1017,8093,10836,11050,13914,16624,19292,26069,44534,903,1,26069,10836,11050,13914,16624,19292
64,929,929.000,1063,7732,10487,10761,13425,15946,18675,28420,43295,928,1,28420,10487,10761,13425,15946,18675
65,917,917.000,1071,7698,10362,10887,13549,16664,20093,32650,73925,916,1,32650,10362,10887,13549,16664,20093
66,527,527.000,1065,7407,10450,24609,13823,17091,21127,681306,1013283,526,1,681306,10450,24609,13823,17091,21127
67,593,593.000,1131,8543,11134,11813,14499,18166,22432,29939,50734,593,0,29939,11134,11813,14499,18166,22432
68,920,920.000,1213,7789,10814,10861,13966,16528,19217,26936,34372,920,0,26936,10814,10861,13966,16528,19217
69,932,932.000,1144,7589,10659,10736,13476,16181,19555,29279,42073,931,1,29279,10659,10736,13476,16181,19555
70,795,795.000,1228,8013,10784,12503,14312,18500,24801,71516,89840,794,1,71516,10784,12503,14312,18500,24801
71,889,889.000,1074,8143,10507,11278,13683,17044,21833,30517,52705,888,1,30517,10507,11278,13683,17044,21833
72,903,903.000,1202,7772,10808,11037,13838,16814,20814,30332,48379,903,0,30332,10808,11037,13838,16814,20814
73,941,941.000,1256,7596,10126,10619,13619,16300,20557,25291,31105,940,1,25291,10126,10619,13619,16300,20557
74,845,845.000,1173,8088,10727,11801,14055,16876,21061,70123,83519,844,1,70123,10727,11801,14055,16876,21061
75,869,869.000,1038,7970,11127,11495,14114,16913,20557,33037,75565,868,1,33037,11127,11495,14114,16913,20557
76,884,884.000,972,7768,10723,11292,13981,17689,21440,33698,52185,883,1,33698,10723,11292,13981,17689,21440
77,916,916.000,1216,7763,10523,10935,13940,16531,20133,26182,42707,916,0,26182,10523,10935,13940,16531,20133
78,863,863.000,1059,7754,10648,11538,13839,16848,21019,69058,86593,862,1,69058,10648,11538,13839,16848,21019
79,906,906.000,1128,7819,10596,11041,13976,16668,20101,31802,52287,906,0,31802,10596,11041,13976,16668,20101
80,932,932.000,1175,7720,10263,10678,13466,16043,18891,27503,40333,931,1,27503,10263,10678,13466,16043,18891
81,811,811.000,1035,8221,11161,12343,14475,18616,24312,67555,83890,811,0,67555,11161,12343,14475,18616,24312
82,789,789.000,1149,8122,11189,12635,14637,18065,24042,63425,82496,788,1,63425,11189,12635,14637,18065,24042
83,919,919.000,1247,7902,10651,10855,13498,16232,18948,26560,36021,918,1,26560,10651,10855,13498,16232,18948
84,834,834.000,1132,8053,11165,11956,14388,17856,21743,61861,81893,833,1,61861,11165,11956,14388,17856,21743
85,854,854.000,1177,8175,11016,18598,14124,17284,23534,624313,632102,853,1,624313,11016,18598,14124,17284,23534
86,351,351.000,1233,8375,11285,11721,14227,17380,21270,29598,36936,350,1,29598,11285,11721,14227,17380,21270
87,923,923.000,994,7628,10747,10835,13749,16282,19268,28917,41543,923,0,28917,10747,10835,13749,16282,19268
88,892,892.000,1240,7399,10457,11165,13748,16632,20504,58555,74901,891,1,58555,10457,11165,13748,16632,20504
89,888,888.000,1131,8033,10768,11268,13729,16349,20371,34722,88351,887,1,34722,10768,11268,13729,16349,20371
90,908,908.000,1219,7804,10729,10976,13869,16328,19016,29934,44700,908,0,29934,10729,10976,13869,16328,19016
91,292,292.000,1169,7672,10405,37690,13513,17328,22026,884369,1011720,292,0,884369,10405,37690,13513,17328,22026
92,754,754.000,1239,7645,10872,11920,14426,18002,22542,58318,70981,754,0,58318,10872,11920,14426,18002,22542
93,342,342.000,1176,8076,10835,34637,14670,20833,29036,965056,1013386,341,1,965056,10835,34637,14670,20833,29036
94,712,712.000,1071,8614,11041,11429,14002,16689,20282,28478,55214,711,1,28478,11041,11429,14002,16689,20282
95,828,828.000,1220,7888,10854,12110,14271,19081,23209,69870,80779,827,1,69870,10854,12110,14271,19081,23209
96,922,922.000,1115,7622,10410,10771,13681,16586,19478,28398,41120,922,0,28398,10410,10771,13681,16586,19478
97,897,897.000,1147,8006,10886,11131,13995,16897,20517,26817,45602,896,1,26817,10886,11131,13995,16897,20517
98,843,843.000,1042,7955,10732,11864,14050,17351,21487,68674,83737,842,1,68674,10732,11864,14050,17351,21487
99,903,903.000,977,7869,10744,11031,13593,16260,18595,30478,61560,903,0,30478,10744,11031,13593,16260,18595
100,916,916.000,1035,7642,10458,10898,13750,16904,21033,30571,37000,916,0,30571,10458,10898,13750,16904,21033
101,843,843.000,1048,8200,10863,11862,13983,16919,21927,57992,78341,842,1,57992,10863,11862,13983,16919,21927
102,909,909.000,1096,7933,10665,10979,14035,16899,20308,26578,40574,909,0,26578,10665,10979,14035,16899,20308
103,862,862.000,1114,7980,10814,11616,14393,18602,22267,32239,44927,862,0,32239,10814,11616,14393,18602,22267
104,862,862.000,1119,8043,10790,11552,13810,16777,20997,58439,72592,861,1,58439,10790,11552,13810,16777,20997
105,879,879.000,1127,8057,11014,11334,14216,17223,20920,30158,49966,878,1,30158,11014,11334,14216,17223,20920
106,301,301.000,1253,7801,10106,34871,13353,16474,24511,727974,1011028,300,1,727974,10106,34871,13353,16474,24511
107,856,856.000,1201,7698,10517,11102,13763,17175,21516,32171,45965,855,1,32171,10517,11102,13763,17175,21516
108,832,832.000,1278,8042,10979,12021,14135,16890,21442,68866,83085,832,0,68866,10979,12021,14135,16890,21442
109,923,923.000,933,7697,10524,10794,13714,16686,20268,27671,33713,922,1,27671,10524,10794,13714,16686,20268
110,281,281.000,1246,8075,10839,35603,14727,18900,28591,698117,709431,281,0,698117,10839,35603,14727,18900,28591
111,851,851.000,1182,8021,10792,11761,14086,17260,21962,59125,75157,850,1,59125,10792,11761,14086,17260,21962
112,371,371.000,1010,8093,10748,34923,14194,17485,22940,993403,1027796,370,1,993403,10748,34923,14194,17485,22940
113,611,611.000,841,8139,10952,11584,13945,17439,21609,32276,59191,611,0,32276,10952,11584,13945,17439,21609
114,271,271.000,1449,7462,10341,40936,13779,17065,21115,1000118,1017832,270,1,1000118,10341,40936,13779,17065,21115
115,776,776.000,1112,8002,11185,11381,14224,17596,20790,32917,49744,775,1,32917,11185,11381,14224,17596,20790
116,886,886.000,993,7737,10436,11247,13635,16804,20429,60559,69861,885,1,60559,10436,11247,13635,16804,20429
117,891,891.000,1157,7829,10814,11201,14061,17000,20241,28552,44690,891,0,28552,10814,11201,14061,17000,20241
118,946,946.000,954,7807,10440,10569,13145,15765,18297,27240,36513,945,1,27240,10440,10569,13145,15765,18297
119,904,904.000,971,7277,10191,10378,13621,16138,18413,25684,31499,904,0,25684,10191,10378,13621,16138,18413
